Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,49,400,2,194,1,407,1,13,55,28,
New England,-,17,42,64,-,1,-,-,
Connecticut,-,6,12,20,-,0,-,-,
Maine,-,7,13,10,-,0,-,-,
Massachusetts,-,9,-,20,-,0,-,-,
New Hampshire,-,4,8,7,-,1,-,-,
Rhode Island,-,3,6,4,-,1,-,-,
Vermont,-,3,3,3,-,0,-,-,
Middle Atlantic,21,82,366,220,1,6,14,11,
New Jersey,1,12,38,51,1,3,3,11,
New York (excluding New York City),10,44,132,50,-,3,6,-,
New York City,1,22,92,63,-,6,-,-,
Pennsylvania,9,18,104,56,-,2,5,-,
East North Central,4,82,402,193,-,4,19,2,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,53,55,-,1,1,-,
Michigan,-,18,67,46,-,2,3,1,
Ohio,-,41,213,89,-,4,15,1,
Wisconsin,4,19,69,3,-,0,-,-,
West North Central,7,28,173,69,-,4,4,5,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,7,22,113,48,-,2,4,4,
Nebraska,-,7,29,7,-,0,-,-,
North Dakota,-,3,8,3,-,0,-,-,
South Dakota,-,7,23,11,-,3,-,1,
South Atlantic,15,69,273,246,-,5,5,3,
Delaware,-,5,14,9,-,0,-,-,
District of Columbia,-,2,4,3,-,0,-,-,
Florida,15,26,118,77,-,3,5,3,
Georgia,-,17,20,83,-,0,-,-,
Maryland,-,11,-,39,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,96,-,-,3,-,-,
Virginia,-,1,-,1,-,0,-,-,
West Virginia,-,13,21,34,-,0,-,-,
East South Central,-,43,207,162,-,2,1,1,
Alabama,-,19,66,47,-,1,1,-,
Kentucky,-,8,30,15,-,2,-,1,
Mississippi,-,8,34,25,-,0,-,-,
Tennessee,-,26,77,75,-,0,-,-,
West South Central,-,63,141,137,-,3,1,4,
Arkansas,-,10,43,16,-,0,-,-,
Louisiana,-,29,13,60,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,53,85,61,-,3,1,4,
Mountain,2,91,558,292,-,2,7,2,
Arizona,-,43,238,131,-,1,3,1,
Colorado,-,28,149,52,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,12,10,-,1,-,-,
Nevada,-,10,52,42,-,1,-,-,
New Mexico,-,14,64,32,-,0,-,-,
Utah,2,12,43,20,-,1,4,1,
Wyoming,-,3,-,5,-,0,-,-,
Pacific,-,12,32,24,-,2,4,-,
Alaska,-,11,30,20,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,2,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,49,400,2,194,1,408,1,13,55,28,
