Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,65,522,8,185,5,420,-,14,201,120,
New England,3,24,428,206,-,1,1,-,
Connecticut,-,6,70,54,-,0,-,-,
Maine,3,7,91,42,-,0,-,-,
Massachusetts,-,10,166,66,-,0,-,-,
New Hampshire,-,5,42,21,-,1,1,-,
Rhode Island,-,5,33,14,-,1,-,-,
Vermont,-,3,26,9,-,0,-,-,
Middle Atlantic,22,86,1,155,705,-,5,46,31,
New Jersey,2,12,118,136,-,3,23,21,
New York (excluding New York City),8,45,452,205,-,1,10,2,
New York City,6,22,255,181,-,1,-,7,
Pennsylvania,6,22,330,183,-,3,13,1,
East North Central,2,86,1,271,888,-,4,46,18,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,340,239,-,0,-,-,
Michigan,-,20,319,169,-,2,5,5,
Ohio,-,41,589,349,-,4,41,13,
Wisconsin,2,19,23,131,-,0,-,-,
West North Central,1,34,452,269,-,2,18,30,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,1,22,271,173,-,2,18,19,
Nebraska,-,10,80,46,-,0,-,-,
North Dakota,-,7,42,16,-,0,-,-,
South Dakota,-,7,59,34,-,1,-,11,
South Atlantic,21,81,1,216,996,-,4,18,9,
Delaware,-,5,53,33,-,0,-,-,
District of Columbia,-,3,25,11,-,0,-,-,
Florida,15,26,435,382,-,2,12,4,
Georgia,-,24,191,280,-,0,-,-,
Maryland,6,16,153,120,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,261,51,-,3,3,3,
Virginia,-,2,12,8,-,0,-,1,
West Virginia,-,13,86,111,-,2,3,-,
East South Central,1,45,764,584,-,2,6,5,
Alabama,1,19,224,163,-,1,1,1,
Kentucky,-,12,142,74,-,2,5,4,
Mississippi,-,6,93,88,-,0,-,-,
Tennessee,-,28,305,259,-,0,-,-,
West South Central,2,174,1,016,717,-,5,35,19,
Arkansas,1,13,145,83,-,0,-,-,
Louisiana,-,16,172,169,-,3,13,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,1,156,699,465,-,5,22,18,
Mountain,13,94,1,732,957,-,2,25,8,
Arizona,4,48,722,398,-,1,7,4,
Colorado,7,28,400,188,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,64,53,-,2,1,-,
Nevada,-,10,170,103,-,1,4,2,
New Mexico,-,16,247,110,-,0,-,-,
Utah,2,12,129,88,-,2,9,2,
Wyoming,-,3,-,17,-,0,-,-,
Pacific,-,13,151,98,-,3,6,-,
Alaska,-,12,129,81,-,3,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,4,22,17,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,65,522,8,185,5,421,-,14,201,120,
