Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,107,425,3,503,2,182,3,13,78,57,
New England,-,17,67,99,-,1,-,-,
Connecticut,-,6,12,28,-,0,-,-,
Maine,-,7,25,24,-,0,-,-,
Massachusetts,-,9,-,27,-,0,-,-,
New Hampshire,-,4,17,10,-,1,-,-,
Rhode Island,-,4,6,6,-,1,-,-,
Vermont,-,3,7,4,-,0,-,-,
Middle Atlantic,46,84,551,333,2,6,26,15,
New Jersey,5,12,59,67,1,3,5,14,
New York (excluding New York City),17,46,203,86,-,4,13,1,
New York City,14,22,133,93,-,6,-,-,
Pennsylvania,10,18,156,87,1,2,8,-,
East North Central,7,92,666,322,-,4,22,8,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,119,101,-,0,-,-,
Michigan,4,18,122,77,-,2,3,3,
Ohio,-,41,319,140,-,4,19,5,
Wisconsin,3,19,106,4,-,0,-,-,
West North Central,5,31,253,117,-,4,6,16,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,5,22,175,77,-,2,6,8,
Nebraska,-,7,36,15,-,0,-,-,
North Dakota,-,3,11,9,-,0,-,-,
South Dakota,-,7,31,16,-,3,-,8,
South Atlantic,15,73,380,387,1,5,8,3,
Delaware,-,5,26,11,-,0,-,-,
District of Columbia,-,2,8,6,-,0,-,-,
Florida,15,26,192,127,1,3,8,3,
Georgia,-,18,26,127,-,0,-,-,
Maryland,-,11,1,53,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,101,-,-,3,-,-,
Virginia,-,1,2,3,-,0,-,-,
West Virginia,-,11,24,60,-,0,-,-,
East South Central,2,43,322,242,-,2,2,2,
Alabama,-,19,101,69,-,1,1,-,
Kentucky,-,8,53,28,-,2,1,2,
Mississippi,2,8,51,38,-,0,-,-,
Tennessee,-,26,117,107,-,0,-,-,
West South Central,1,105,368,216,-,3,4,9,
Arkansas,1,10,71,25,-,1,1,-,
Louisiana,-,29,32,78,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,95,265,113,-,3,3,9,
Mountain,31,94,838,427,-,2,6,4,
Arizona,14,45,399,178,-,1,2,2,
Colorado,16,28,184,81,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,22,15,-,1,-,-,
Nevada,-,10,63,61,-,1,-,1,
New Mexico,-,16,105,48,-,0,-,-,
Utah,1,12,65,34,-,1,4,1,
Wyoming,-,3,-,10,-,0,-,-,
Pacific,-,12,58,39,-,2,4,-,
Alaska,-,11,52,31,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,6,8,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,107,425,3,503,2,183,3,13,78,57,
