Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,137,560,10,314,7,890,4,15,253,163,
New England,-,24,545,307,-,1,2,-,
Connecticut,-,8,128,75,-,0,-,-,
Maine,-,7,99,58,-,0,-,-,
Massachusetts,-,11,203,103,-,1,1,-,
New Hampshire,-,5,50,32,-,1,1,-,
Rhode Island,-,5,34,23,-,1,-,-,
Vermont,-,2,31,16,-,0,-,-,
Middle Atlantic,43,77,1,442,942,2,8,57,36,
New Jersey,7,13,164,169,-,3,25,29,
New York (excluding New York City),19,45,548,277,2,5,18,3,
New York City,10,22,320,239,-,0,-,2,
Pennsylvania,7,22,410,257,-,2,14,2,
East North Central,7,87,1,633,1,264,-,4,53,32,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,425,339,-,0,-,-,
Michigan,1,21,433,232,-,2,6,9,
Ohio,-,41,701,501,-,4,47,23,
Wisconsin,6,19,74,192,-,0,-,-,
West North Central,2,42,548,592,-,4,30,41,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,213,-,0,-,-,
Missouri,-,22,318,218,-,4,29,28,
Nebraska,2,10,102,66,-,1,1,-,
North Dakota,-,6,57,42,-,0,-,-,
South Dakota,-,7,71,53,-,0,-,13,
South Atlantic,18,89,1,511,1,445,1,4,21,13,
Delaware,4,6,69,50,-,0,-,-,
District of Columbia,-,3,25,14,-,0,-,-,
Florida,2,26,455,512,-,2,12,8,
Georgia,-,30,225,434,-,0,-,-,
Maryland,11,22,232,165,1,1,3,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,292,106,-,3,3,4,
Virginia,1,2,17,9,-,0,-,1,
West Virginia,-,18,196,155,-,2,3,-,
East South Central,18,45,1,001,832,-,2,11,8,
Alabama,2,19,266,231,-,1,1,2,
Kentucky,-,28,232,104,-,2,10,6,
Mississippi,-,6,108,120,-,0,-,-,
Tennessee,16,28,395,377,-,0,-,-,
West South Central,5,176,1,210,1,009,-,5,42,22,
Arkansas,5,13,178,122,-,0,-,-,
Louisiana,-,16,209,238,-,3,15,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,158,823,649,-,5,27,21,
Mountain,41,99,2,211,1,335,-,3,28,10,
Arizona,12,48,837,510,-,1,8,5,
Colorado,16,28,506,289,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,69,84,-,2,1,1,
Nevada,-,18,321,138,-,2,4,2,
New Mexico,5,16,293,152,-,0,-,-,
Utah,7,12,158,131,-,2,11,2,
Wyoming,-,4,27,31,-,0,-,-,
Pacific,3,15,213,164,1,3,9,1,
Alaska,3,13,172,140,1,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,41,24,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,137,560,10,314,7,891,4,15,253,163,
