Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,111,544,8,628,6,187,-,16,205,135,
New England,3,25,468,244,-,1,1,-,
Connecticut,-,8,91,62,-,0,-,-,
Maine,2,7,97,52,-,0,-,-,
Massachusetts,-,10,172,79,-,0,-,-,
New Hampshire,-,5,45,23,-,1,1,-,
Rhode Island,-,5,34,18,-,1,-,-,
Vermont,1,3,29,10,-,0,-,-,
Middle Atlantic,20,86,1,203,764,-,5,49,33,
New Jersey,1,12,122,145,-,3,24,22,
New York (excluding New York City),6,45,465,225,-,2,12,2,
New York City,3,22,264,191,-,0,-,8,
Pennsylvania,10,22,352,203,-,3,13,1,
East North Central,3,87,1,338,989,-,4,47,21,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,2,25,365,278,-,0,-,-,
Michigan,1,21,334,182,-,2,5,7,
Ohio,-,41,609,384,-,4,42,14,
Wisconsin,-,19,30,145,-,0,-,-,
West North Central,3,41,482,474,-,4,19,38,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,168,-,0,-,-,
Missouri,2,22,284,194,-,4,19,25,
Nebraska,1,10,86,51,-,0,-,-,
North Dakota,-,7,49,22,-,0,-,-,
South Dakota,-,7,63,39,-,1,-,13,
South Atlantic,15,82,1,273,1,105,-,4,18,11,
Delaware,1,5,57,35,-,0,-,-,
District of Columbia,-,3,25,13,-,0,-,-,
Florida,2,26,442,426,-,2,12,6,
Georgia,-,24,192,305,-,0,-,-,
Maryland,12,21,183,129,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,269,66,-,3,3,3,
Virginia,-,2,12,8,-,0,-,1,
West Virginia,-,13,93,123,-,2,3,-,
East South Central,14,45,805,647,-,2,6,5,
Alabama,-,19,231,185,-,1,1,1,
Kentucky,9,12,152,80,-,2,5,4,
Mississippi,3,6,99,101,-,0,-,-,
Tennessee,2,28,323,281,-,0,-,-,
West South Central,12,175,1,066,798,-,5,34,19,
Arkansas,1,13,148,95,-,0,-,-,
Louisiana,-,16,180,188,-,3,13,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,11,157,738,515,-,5,21,18,
Mountain,27,94,1,820,1,046,-,2,25,8,
Arizona,14,48,757,422,-,1,7,4,
Colorado,9,28,419,205,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,66,64,-,2,1,-,
Nevada,-,10,183,110,-,1,2,2,
New Mexico,2,16,259,124,-,0,-,-,
Utah,2,12,136,99,-,2,11,2,
Wyoming,-,3,-,22,-,0,-,-,
Pacific,14,13,173,120,-,3,6,-,
Alaska,13,12,146,99,-,3,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,1,4,27,21,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,111,544,8,628,6,188,-,16,205,135,
