Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,103,545,8,773,6,417,-,15,207,141,
New England,-,25,469,247,-,1,1,-,
Connecticut,-,8,91,64,-,0,-,-,
Maine,-,7,97,52,-,0,-,-,
Massachusetts,-,10,172,80,-,0,-,-,
New Hampshire,-,5,45,23,-,1,1,-,
Rhode Island,-,5,34,18,-,1,-,-,
Vermont,-,3,30,10,-,0,-,-,
Middle Atlantic,14,86,1,221,777,-,5,49,36,
New Jersey,3,12,125,149,-,3,24,25,
New York (excluding New York City),6,45,471,228,-,2,12,2,
New York City,3,22,267,195,-,0,-,8,
Pennsylvania,2,22,358,205,-,3,13,1,
East North Central,3,87,1,361,1,028,-,4,47,21,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,2,25,370,291,-,0,-,-,
Michigan,1,21,340,187,-,2,5,7,
Ohio,-,41,621,401,-,4,42,14,
Wisconsin,-,19,30,149,-,0,-,-,
West North Central,6,41,491,487,-,4,21,39,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,172,-,0,-,-,
Missouri,4,22,290,197,-,4,21,26,
Nebraska,1,10,87,54,-,0,-,-,
North Dakota,-,7,49,25,-,0,-,-,
South Dakota,1,7,65,39,-,0,-,13,
South Atlantic,4,82,1,278,1,142,-,4,18,12,
Delaware,1,5,58,39,-,0,-,-,
District of Columbia,-,3,25,13,-,0,-,-,
Florida,2,26,444,444,-,2,12,7,
Georgia,-,24,192,311,-,0,-,-,
Maryland,1,21,185,132,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,269,71,-,3,3,3,
Virginia,-,2,12,8,-,0,-,1,
West Virginia,-,13,93,124,-,2,3,-,
East South Central,28,45,839,687,-,2,6,5,
Alabama,4,19,235,196,-,1,1,1,
Kentucky,19,12,171,84,-,2,5,4,
Mississippi,2,6,102,105,-,0,-,-,
Tennessee,3,28,331,302,-,0,-,-,
West South Central,23,176,1,093,822,-,5,34,20,
Arkansas,4,13,152,100,-,0,-,-,
Louisiana,-,16,180,192,-,3,13,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,19,158,761,530,-,5,21,19,
Mountain,22,94,1,845,1,094,-,2,25,8,
Arizona,18,48,778,436,-,1,7,4,
Colorado,-,28,419,212,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,66,69,-,2,1,-,
Nevada,-,10,183,120,-,1,2,2,
New Mexico,2,16,261,128,-,0,-,-,
Utah,2,12,138,106,-,2,11,2,
Wyoming,-,3,-,23,-,0,-,-,
Pacific,3,14,176,133,-,3,6,-,
Alaska,3,13,149,111,-,3,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,4,27,22,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,103,545,8,773,6,418,-,15,207,141,
