Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,137,375,1,176,762,4,14,29,15,
New England,2,17,15,33,-,1,-,-,
Connecticut,-,6,3,11,-,0,-,-,
Maine,2,7,10,5,-,0,-,-,
Massachusetts,-,6,-,11,-,1,-,-,
New Hampshire,-,2,-,3,-,1,-,-,
Rhode Island,-,2,1,2,-,0,-,-,
Vermont,-,3,1,1,-,0,-,-,
Middle Atlantic,32,68,235,108,2,6,11,6,
New Jersey,4,9,31,27,1,3,2,6,
New York (excluding New York City),13,36,80,22,1,3,6,-,
New York City,11,20,66,26,-,6,-,-,
Pennsylvania,4,18,58,33,-,2,3,-,
East North Central,-,72,202,93,-,4,10,1,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,14,6,25,-,0,-,-,
Michigan,-,16,35,23,-,2,1,1,
Ohio,-,41,130,42,-,3,9,-,
Wisconsin,-,16,31,3,-,0,-,-,
West North Central,7,20,82,38,-,4,2,2,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,5,18,59,28,-,2,2,2,
Nebraska,1,7,13,3,-,0,-,-,
North Dakota,-,3,5,2,-,0,-,-,
South Dakota,1,5,5,5,-,3,-,-,
South Atlantic,27,63,185,151,1,5,1,2,
Delaware,2,5,9,5,-,0,-,-,
District of Columbia,-,2,3,-,-,0,-,-,
Florida,18,26,85,42,-,3,-,2,
Georgia,1,17,20,55,-,0,-,-,
Maryland,-,11,-,26,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,6,25,68,-,1,3,1,-,
Virginia,-,1,-,1,-,0,-,-,
West Virginia,-,13,-,22,-,0,-,-,
East South Central,9,43,105,90,-,2,-,-,
Alabama,3,18,34,28,-,1,-,-,
Kentucky,-,8,8,6,-,2,-,-,
Mississippi,5,8,17,19,-,0,-,-,
Tennessee,1,26,46,37,-,0,-,-,
West South Central,17,59,92,61,-,3,1,2,
Arkansas,4,10,20,2,-,0,-,-,
Louisiana,-,29,13,36,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,13,49,59,23,-,3,1,2,
Mountain,43,91,243,175,1,2,3,2,
Arizona,32,44,161,80,1,1,1,1,
Colorado,-,28,-,28,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,5,5,-,1,-,-,
Nevada,-,10,5,27,-,1,-,-,
New Mexico,9,13,46,24,-,0,-,-,
Utah,2,12,26,7,-,1,2,1,
Wyoming,-,3,-,4,-,0,-,-,
Pacific,-,12,17,13,-,2,1,-,
Alaska,-,11,16,9,-,2,1,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,1,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,-,-,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,137,375,1,176,762,4,14,29,15,
