Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,118,376,740,477,2,14,20,9,
New England,-,17,7,21,-,1,-,-,
Connecticut,-,6,-,6,-,0,-,-,
Maine,-,7,6,4,-,0,-,-,
Massachusetts,-,6,-,7,-,1,-,-,
New Hampshire,-,2,-,3,-,1,-,-,
Rhode Island,-,2,-,-,-,0,-,-,
Vermont,-,2,1,1,-,0,-,-,
Middle Atlantic,41,62,159,69,1,6,6,2,
New Jersey,8,9,25,17,1,3,1,2,
New York (excluding New York City),13,31,52,10,-,2,2,-,
New York City,20,17,43,21,-,6,-,-,
Pennsylvania,-,18,39,21,-,2,3,-,
East North Central,-,68,167,54,-,4,8,1,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,14,6,16,-,0,-,-,
Michigan,-,13,26,13,-,2,1,1,
Ohio,-,41,108,22,-,3,7,-,
Wisconsin,-,16,27,3,-,0,-,-,
West North Central,11,19,47,24,-,4,2,2,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,4,15,31,18,-,2,2,2,
Nebraska,4,7,8,2,-,0,-,-,
North Dakota,-,2,5,1,-,0,-,-,
South Dakota,3,5,3,3,-,3,-,-,
South Atlantic,19,58,104,93,-,5,-,2,
Delaware,-,5,3,1,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,13,26,51,24,-,3,-,2,
Georgia,1,17,18,40,-,0,-,-,
Maryland,-,11,-,15,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,5,21,32,-,-,3,-,-,
Virginia,-,1,-,-,-,0,-,-,
West Virginia,-,13,-,13,-,0,-,-,
East South Central,3,44,69,56,-,2,-,-,
Alabama,1,17,24,22,-,1,-,-,
Kentucky,-,8,5,3,-,2,-,-,
Mississippi,-,8,8,12,-,0,-,-,
Tennessee,2,26,32,19,-,0,-,-,
West South Central,4,57,59,35,-,3,1,1,
Arkansas,1,10,13,1,-,0,-,-,
Louisiana,-,29,12,22,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,3,47,34,12,-,3,1,1,
Mountain,38,91,118,117,1,2,2,1,
Arizona,25,42,65,59,-,1,-,-,
Colorado,-,28,-,22,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,4,2,-,1,-,-,
Nevada,1,10,4,16,-,1,-,-,
New Mexico,2,13,26,13,-,0,-,-,
Utah,10,12,19,2,1,1,2,1,
Wyoming,-,3,-,3,-,0,-,-,
Pacific,2,12,10,8,-,2,1,-,
Alaska,2,11,10,5,-,2,1,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,-,3,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,-,-,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,118,376,740,477,2,14,20,9,
