Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,37,533,8,397,5,799,3,16,207,132,
New England,1,25,454,230,-,1,1,-,
Connecticut,-,7,84,60,-,0,-,-,
Maine,1,7,94,50,-,0,-,-,
Massachusetts,-,10,172,72,-,0,-,-,
New Hampshire,-,5,42,21,-,1,1,-,
Rhode Island,-,5,34,17,-,1,-,-,
Vermont,-,3,28,10,-,0,-,-,
Middle Atlantic,6,86,1,180,740,3,5,49,33,
New Jersey,1,12,121,141,1,3,24,22,
New York (excluding New York City),3,45,459,222,2,1,12,2,
New York City,1,22,260,187,-,0,-,8,
Pennsylvania,1,22,340,190,-,3,13,1,
East North Central,2,86,1,308,959,-,4,46,19,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,25,351,269,-,0,-,-,
Michigan,-,20,326,179,-,2,5,6,
Ohio,-,41,602,370,-,4,41,13,
Wisconsin,1,19,29,141,-,0,-,-,
West North Central,4,34,474,294,-,4,19,37,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,2,22,282,192,-,4,19,25,
Nebraska,2,10,83,48,-,0,-,-,
North Dakota,-,7,49,19,-,0,-,-,
South Dakota,-,7,60,35,-,1,-,12,
South Atlantic,-,81,1,233,1,066,-,4,18,11,
Delaware,-,5,56,34,-,0,-,-,
District of Columbia,-,3,25,11,-,0,-,-,
Florida,-,26,440,414,-,2,12,6,
Georgia,-,24,191,294,-,0,-,-,
Maryland,-,16,154,126,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,269,64,-,3,3,3,
Virginia,-,2,12,8,-,0,-,1,
West Virginia,-,13,86,115,-,2,3,-,
East South Central,3,45,783,620,-,2,6,5,
Alabama,-,19,227,175,-,1,1,1,
Kentucky,-,12,142,77,-,2,5,4,
Mississippi,1,6,95,97,-,0,-,-,
Tennessee,2,28,319,271,-,0,-,-,
West South Central,7,174,1,037,771,-,5,36,19,
Arkansas,-,13,147,92,-,0,-,-,
Louisiana,-,16,172,181,-,3,13,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,7,156,718,498,-,5,23,18,
Mountain,14,94,1,774,1,011,-,2,26,8,
Arizona,8,48,740,415,-,1,7,4,
Colorado,4,28,410,196,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,66,59,-,2,1,-,
Nevada,-,10,174,109,-,1,4,2,
New Mexico,-,16,250,117,-,0,-,-,
Utah,2,12,134,93,-,2,10,2,
Wyoming,-,3,-,22,-,0,-,-,
Pacific,-,13,154,108,-,3,6,-,
Alaska,-,12,130,90,-,3,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,4,24,18,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,37,533,8,397,5,800,3,16,207,132,
