Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,63,512,7,703,4,707,6,14,179,107,
New England,-,24,391,185,-,1,1,-,
Connecticut,-,6,57,46,-,0,-,-,
Maine,-,7,80,38,-,0,-,-,
Massachusetts,-,10,161,61,-,0,-,-,
New Hampshire,-,4,39,20,-,1,1,-,
Rhode Island,-,5,33,14,-,1,-,-,
Vermont,-,3,21,6,-,0,-,-,
Middle Atlantic,15,85,1,082,635,3,6,46,28,
New Jersey,4,12,111,126,-,3,21,21,
New York (excluding New York City),5,45,424,181,3,2,10,-,
New York City,5,22,238,165,-,1,-,7,
Pennsylvania,1,22,309,163,-,3,15,-,
East North Central,1,94,1,360,686,-,4,41,15,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,25,313,213,-,0,-,-,
Michigan,-,20,295,152,-,2,5,5,
Ohio,-,41,554,305,-,4,36,10,
Wisconsin,-,19,198,16,-,0,-,-,
West North Central,2,32,414,233,-,2,16,27,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,1,22,260,150,-,2,16,17,
Nebraska,1,10,76,36,-,0,-,-,
North Dakota,-,4,24,15,-,0,-,-,
South Dakota,-,7,54,32,-,1,-,10,
South Atlantic,15,78,1,023,864,-,5,16,8,
Delaware,-,5,50,31,-,0,-,-,
District of Columbia,-,3,25,9,-,0,-,-,
Florida,9,26,380,317,-,3,12,5,
Georgia,-,22,181,253,-,0,-,-,
Maryland,6,16,118,112,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,34,-,3,1,1,
Virginia,-,2,10,9,-,0,-,1,
West Virginia,-,11,78,99,-,2,3,-,
East South Central,4,45,724,525,-,2,3,3,
Alabama,-,19,206,146,-,1,1,-,
Kentucky,-,12,132,64,-,2,2,3,
Mississippi,1,6,90,76,-,0,-,-,
Tennessee,3,28,296,239,-,0,-,-,
West South Central,13,174,959,629,3,5,32,17,
Arkansas,5,13,138,70,-,0,-,-,
Louisiana,3,16,172,150,3,3,13,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,5,156,649,409,-,5,19,17,
Mountain,12,94,1,609,866,-,2,19,9,
Arizona,4,48,668,376,-,1,5,4,
Colorado,5,28,383,164,-,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,56,39,-,1,1,-,
Nevada,-,10,143,92,-,1,1,2,
New Mexico,1,16,237,95,-,0,-,-,
Utah,1,12,122,77,-,2,9,3,
Wyoming,-,3,-,23,-,0,-,-,
Pacific,1,13,141,84,-,2,5,-,
Alaska,1,12,121,73,-,2,5,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,20,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,63,512,7,703,4,708,6,14,179,107,
