Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,134,428,4,080,2,591,5,13,90,62,
New England,1,17,89,111,-,1,-,-,
Connecticut,-,6,20,32,-,0,-,-,
Maine,1,7,33,26,-,0,-,-,
Massachusetts,-,9,-,30,-,0,-,-,
New Hampshire,-,4,20,10,-,1,-,-,
Rhode Island,-,4,8,9,-,1,-,-,
Vermont,-,3,8,4,-,0,-,-,
Middle Atlantic,55,84,658,387,1,6,25,16,
New Jersey,7,12,69,75,-,3,6,14,
New York (excluding New York City),25,46,243,100,1,3,13,2,
New York City,12,22,156,110,-,6,-,-,
Pennsylvania,11,19,190,102,-,2,6,-,
East North Central,2,92,759,374,-,4,27,8,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,139,120,-,0,-,-,
Michigan,1,18,140,91,-,2,3,3,
Ohio,-,41,356,158,-,4,24,5,
Wisconsin,1,19,124,5,-,0,-,-,
West North Central,3,32,281,134,-,2,8,16,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,22,184,87,-,2,8,8,
Nebraska,3,7,39,20,-,0,-,-,
North Dakota,-,4,22,9,-,0,-,-,
South Dakota,-,7,36,18,-,1,-,8,
South Atlantic,15,73,444,464,1,5,7,3,
Delaware,3,5,34,16,-,0,-,-,
District of Columbia,-,2,9,8,-,0,-,-,
Florida,12,26,222,155,1,3,7,3,
Georgia,-,18,28,144,-,0,-,-,
Maryland,-,11,1,67,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,123,1,-,3,-,-,
Virginia,-,1,3,4,-,0,-,-,
West Virginia,-,11,24,69,-,0,-,-,
East South Central,5,43,360,276,-,2,2,2,
Alabama,2,19,110,76,-,1,1,-,
Kentucky,3,12,64,29,-,2,1,2,
Mississippi,-,8,59,45,-,0,-,-,
Tennessee,-,26,127,126,-,0,-,-,
West South Central,14,109,461,305,2,3,8,13,
Arkansas,3,10,78,39,-,1,1,-,
Louisiana,1,29,58,80,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,10,99,325,186,2,3,7,13,
Mountain,38,94,965,493,1,2,9,4,
Arizona,19,45,457,203,-,1,2,2,
Colorado,11,28,204,94,1,0,1,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,30,17,-,1,-,-,
Nevada,-,10,74,66,-,1,-,1,
New Mexico,4,16,127,53,-,0,-,-,
Utah,3,12,73,42,-,2,6,1,
Wyoming,-,3,-,18,-,0,-,-,
Pacific,1,12,63,47,-,2,4,-,
Alaska,1,11,55,38,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,8,9,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,134,428,4,080,2,592,5,13,90,62,
