Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,223,614,11,339,8,953,10,16,286,204,
New England,10,26,618,344,-,1,3,-,
Connecticut,-,10,144,84,-,0,-,-,
Maine,4,7,115,67,-,0,-,-,
Massachusetts,6,12,236,117,-,1,2,-,
New Hampshire,-,6,56,35,-,1,1,-,
Rhode Island,-,5,34,23,-,1,-,-,
Vermont,-,2,33,18,-,0,-,-,
Middle Atlantic,49,86,1,576,1,053,6,6,66,42,
New Jersey,6,13,173,196,2,3,30,34,
New York (excluding New York City),22,45,596,308,4,3,22,4,
New York City,10,22,356,264,-,0,-,2,
Pennsylvania,11,22,451,285,-,2,14,2,
East North Central,14,93,1,865,1,560,-,4,64,49,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,25,487,402,-,1,2,-,
Michigan,2,29,482,370,-,1,9,21,
Ohio,-,41,778,561,-,4,53,28,
Wisconsin,11,19,118,227,-,0,-,-,
West North Central,12,42,624,655,1,3,31,49,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,234,-,0,-,-,
Missouri,9,22,358,238,1,3,30,36,
Nebraska,3,10,119,74,-,1,1,-,
North Dakota,-,6,63,48,-,0,-,-,
South Dakota,-,7,84,61,-,0,-,13,
South Atlantic,45,89,1,657,1,599,1,4,22,18,
Delaware,2,6,74,52,-,0,-,-,
District of Columbia,-,3,25,16,-,0,-,-,
Florida,28,25,489,567,-,2,12,10,
Georgia,3,30,267,476,-,0,-,-,
Maryland,12,22,268,181,1,1,3,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,292,129,-,3,3,7,
Virginia,-,2,20,9,-,0,-,1,
West Virginia,-,18,222,169,-,2,4,-,
East South Central,21,45,1,102,919,-,2,14,8,
Alabama,4,19,299,260,-,1,1,2,
Kentucky,2,28,247,117,-,2,13,6,
Mississippi,7,7,130,134,-,0,-,-,
Tennessee,8,28,426,408,-,0,-,-,
West South Central,-,175,1,256,1,098,-,5,49,24,
Arkansas,-,13,193,138,-,0,-,-,
Louisiana,-,16,222,250,-,3,19,2,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,157,841,710,-,5,30,22,
Mountain,72,99,2,418,1,538,1,3,27,13,
Arizona,31,48,898,575,-,1,8,6,
Colorado,26,29,594,344,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,6,73,98,-,2,1,1,
Nevada,2,18,327,154,-,2,4,2,
New Mexico,5,16,323,179,-,0,-,-,
Utah,8,9,176,153,1,2,12,4,
Wyoming,-,4,27,35,-,0,-,-,
Pacific,-,15,223,187,1,3,10,1,
Alaska,-,13,178,148,1,3,10,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,45,39,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,1,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,1,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,223,614,11,340,8,954,10,16,286,204,
