Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,130,568,10,627,8,174,5,15,264,170,
New England,1,25,561,319,-,1,2,-,
Connecticut,-,10,128,80,-,0,-,-,
Maine,-,7,99,59,-,0,-,-,
Massachusetts,-,12,216,108,-,1,1,-,
New Hampshire,-,5,52,32,-,1,1,-,
Rhode Island,-,5,34,23,-,1,-,-,
Vermont,1,2,32,17,-,0,-,-,
Middle Atlantic,35,77,1,483,978,2,8,59,37,
New Jersey,1,13,165,178,1,3,26,30,
New York (excluding New York City),14,45,562,287,1,5,19,3,
New York City,11,22,331,249,-,0,-,2,
Pennsylvania,9,22,425,264,-,2,14,2,
East North Central,12,87,1,700,1,318,-,4,56,35,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,442,356,-,1,2,-,
Michigan,2,21,446,242,-,1,6,10,
Ohio,-,41,722,519,-,4,48,25,
Wisconsin,10,19,90,201,-,0,-,-,
West North Central,6,42,574,605,1,4,32,42,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,217,-,0,-,-,
Missouri,2,22,331,223,1,4,31,29,
Nebraska,4,10,109,66,-,1,1,-,
North Dakota,-,6,60,44,-,0,-,-,
South Dakota,-,7,74,55,-,0,-,13,
South Atlantic,16,89,1,535,1,498,1,4,22,14,
Delaware,1,6,70,50,-,0,-,-,
District of Columbia,-,3,25,15,-,0,-,-,
Florida,4,26,459,528,-,2,12,8,
Georgia,2,30,234,447,-,0,-,-,
Maryland,7,22,239,173,1,1,4,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,292,114,-,3,3,5,
Virginia,2,2,20,9,-,0,-,1,
West Virginia,-,18,196,162,-,2,3,-,
East South Central,13,45,1,040,853,-,2,13,8,
Alabama,1,19,276,238,-,1,1,2,
Kentucky,4,28,244,107,-,2,12,6,
Mississippi,3,6,118,121,-,0,-,-,
Tennessee,5,28,402,387,-,0,-,-,
West South Central,8,176,1,225,1,035,1,5,45,23,
Arkansas,7,13,185,127,-,0,-,-,
Louisiana,1,16,218,240,1,3,17,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,158,822,668,-,5,28,22,
Mountain,37,99,2,291,1,397,-,3,26,10,
Arizona,10,48,849,524,-,1,8,5,
Colorado,11,29,553,304,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,6,71,90,-,2,1,1,
Nevada,-,18,324,143,-,2,4,2,
New Mexico,13,16,306,160,-,0,-,-,
Utah,2,12,161,143,-,2,11,2,
Wyoming,-,4,27,33,-,0,-,-,
Pacific,2,15,218,171,-,3,9,1,
Alaska,2,13,174,144,-,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,44,27,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,1,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,1,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,130,568,10,628,8,175,5,15,264,170,
