Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,87,548,9,263,6,827,1,15,223,147,
New England,1,25,503,262,-,1,2,-,
Connecticut,-,8,111,66,-,0,-,-,
Maine,1,7,99,53,-,0,-,-,
Massachusetts,-,10,182,87,-,1,1,-,
New Hampshire,-,5,46,24,-,1,1,-,
Rhode Island,-,5,34,19,-,1,-,-,
Vermont,-,2,31,13,-,0,-,-,
Middle Atlantic,27,86,1,272,814,-,5,50,37,
New Jersey,2,12,129,156,-,3,24,26,
New York (excluding New York City),8,45,487,238,-,2,12,2,
New York City,11,22,280,203,-,0,-,8,
Pennsylvania,6,22,376,217,-,3,14,1,
East North Central,6,87,1,418,1,107,-,4,49,24,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,388,304,-,0,-,-,
Michigan,1,21,348,202,-,2,6,7,
Ohio,-,41,638,435,-,4,43,17,
Wisconsin,5,19,44,166,-,0,-,-,
West North Central,1,41,513,521,1,4,25,40,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,180,-,0,-,-,
Missouri,1,22,305,204,-,4,24,27,
Nebraska,-,10,91,61,1,0,1,-,
North Dakota,-,6,51,33,-,0,-,-,
South Dakota,-,7,66,43,-,0,-,13,
South Atlantic,10,83,1,419,1,206,-,4,19,12,
Delaware,1,5,59,40,-,0,-,-,
District of Columbia,-,3,25,13,-,0,-,-,
Florida,1,26,448,461,-,2,12,7,
Georgia,-,24,195,326,-,0,-,-,
Maryland,7,22,199,140,-,1,1,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,283,81,-,3,3,3,
Virginia,1,2,14,9,-,0,-,1,
West Virginia,-,18,196,136,-,2,3,-,
East South Central,2,45,857,739,-,2,6,5,
Alabama,1,19,244,210,-,1,1,1,
Kentucky,-,19,174,86,-,2,5,4,
Mississippi,1,6,105,109,-,0,-,-,
Tennessee,-,28,334,334,-,0,-,-,
West South Central,15,176,1,156,879,-,5,40,20,
Arkansas,3,13,159,110,-,0,-,-,
Louisiana,3,16,195,203,-,3,14,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,9,158,802,566,-,5,26,19,
Mountain,22,97,1,932,1,156,-,2,25,8,
Arizona,9,48,794,454,-,1,7,4,
Colorado,13,28,456,228,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,67,74,-,2,1,-,
Nevada,-,10,185,124,-,1,2,2,
New Mexico,-,16,263,135,-,0,-,-,
Utah,-,12,142,114,-,2,11,2,
Wyoming,-,4,25,27,-,0,-,-,
Pacific,3,15,193,143,-,3,7,1,
Alaska,1,13,153,120,-,3,7,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,2,4,40,23,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,87,548,9,263,6,828,1,15,223,147,
