Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,71,381,1,565,1,015,5,14,43,20,
New England,1,17,22,50,-,1,-,-,
Connecticut,-,6,3,16,-,0,-,-,
Maine,1,7,12,8,-,0,-,-,
Massachusetts,-,6,-,16,-,1,-,-,
New Hampshire,-,2,-,5,-,1,-,-,
Rhode Island,-,2,4,2,-,1,-,-,
Vermont,-,3,3,3,-,0,-,-,
Middle Atlantic,19,70,283,151,3,6,15,6,
New Jersey,3,9,35,36,-,3,2,6,
New York (excluding New York City),11,38,100,36,1,3,8,-,
New York City,2,22,76,38,-,6,-,-,
Pennsylvania,3,18,72,41,2,2,5,-,
East North Central,4,86,321,133,-,4,14,1,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,20,55,38,-,1,1,-,
Michigan,2,18,52,31,-,2,2,1,
Ohio,-,41,167,61,-,3,11,-,
Wisconsin,2,17,47,3,-,0,-,-,
West North Central,7,24,114,49,1,4,3,4,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,5,22,85,34,1,2,3,4,
Nebraska,2,7,19,6,-,0,-,-,
North Dakota,-,3,5,2,-,0,-,-,
South Dakota,-,5,5,7,-,3,-,-,
South Atlantic,3,63,210,187,-,5,3,3,
Delaware,1,5,12,5,-,0,-,-,
District of Columbia,-,2,3,2,-,0,-,-,
Florida,2,26,94,58,-,3,2,3,
Georgia,-,17,20,68,-,0,-,-,
Maryland,-,11,-,29,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,81,-,-,3,1,-,
Virginia,-,1,-,1,-,0,-,-,
West Virginia,-,13,-,24,-,0,-,-,
East South Central,11,43,162,116,-,2,1,1,
Alabama,-,18,52,36,-,1,1,-,
Kentucky,5,8,26,10,-,2,-,1,
Mississippi,1,8,20,21,-,0,-,-,
Tennessee,5,26,64,49,-,0,-,-,
West South Central,10,61,127,88,-,3,1,3,
Arkansas,6,10,36,10,-,0,-,-,
Louisiana,-,29,13,46,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,4,51,78,32,-,3,1,3,
Mountain,14,91,298,225,1,2,5,2,
Arizona,9,44,184,101,-,1,1,1,
Colorado,-,28,-,41,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,6,8,-,1,-,-,
Nevada,1,10,16,33,-,1,-,-,
New Mexico,4,14,63,24,-,0,-,-,
Utah,-,12,29,13,1,1,4,1,
Wyoming,-,3,-,5,-,0,-,-,
Pacific,2,12,28,16,-,2,1,-,
Alaska,2,11,26,12,-,2,1,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,2,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,71,381,1,565,1,016,5,14,43,20,
