Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,67,376,1,379,888,5,14,38,20,
New England,1,17,19,41,-,1,-,-,
Connecticut,-,6,3,14,-,0,-,-,
Maine,1,7,11,5,-,0,-,-,
Massachusetts,-,6,-,14,-,1,-,-,
New Hampshire,-,2,-,3,-,1,-,-,
Rhode Island,-,2,3,2,-,0,-,-,
Vermont,-,3,2,3,-,0,-,-,
Middle Atlantic,15,69,255,126,1,6,12,6,
New Jersey,1,9,32,30,-,3,2,6,
New York (excluding New York City),9,38,89,27,1,3,7,-,
New York City,4,20,70,32,-,6,-,-,
Pennsylvania,1,18,64,37,-,2,3,-,
East North Central,2,80,263,113,1,4,14,1,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,17,26,31,-,0,-,-,
Michigan,1,16,44,28,1,2,2,1,
Ohio,-,41,151,51,-,3,12,-,
Wisconsin,1,17,42,3,-,0,-,-,
West North Central,7,24,99,43,-,4,2,4,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,5,22,73,31,-,2,2,4,
Nebraska,2,7,16,4,-,0,-,-,
North Dakota,-,3,5,2,-,0,-,-,
South Dakota,-,5,5,6,-,3,-,-,
South Atlantic,7,63,194,167,2,5,3,3,
Delaware,-,5,11,5,-,0,-,-,
District of Columbia,-,2,3,-,-,0,-,-,
Florida,7,26,92,47,2,3,2,3,
Georgia,-,17,20,63,-,0,-,-,
Maryland,-,11,-,28,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,68,-,-,3,1,-,
Virginia,-,1,-,1,-,0,-,-,
West Virginia,-,13,-,23,-,0,-,-,
East South Central,8,43,139,105,-,2,1,1,
Alabama,3,18,48,32,-,1,1,-,
Kentucky,2,8,14,8,-,2,-,1,
Mississippi,1,8,18,21,-,0,-,-,
Tennessee,2,26,59,44,-,0,-,-,
West South Central,9,60,115,75,-,3,1,3,
Arkansas,6,10,29,7,-,0,-,-,
Louisiana,-,29,13,39,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,3,50,73,29,-,3,1,3,
Mountain,18,91,275,202,1,2,4,2,
Arizona,13,44,168,91,-,1,1,1,
Colorado,-,28,-,34,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,5,6,-,1,-,-,
Nevada,1,10,15,31,-,1,-,-,
New Mexico,1,14,58,24,-,0,-,-,
Utah,3,12,29,12,1,1,3,1,
Wyoming,-,3,-,4,-,0,-,-,
Pacific,-,12,20,16,-,2,1,-,
Alaska,-,11,18,12,-,2,1,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,2,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,67,376,1,379,889,5,14,38,20,
