Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,113,462,5,606,3,596,3,14,134,78,
New England,2,21,255,144,-,1,1,-,
Connecticut,-,6,29,37,-,0,-,-,
Maine,2,7,46,34,-,0,-,-,
Massachusetts,-,10,119,47,-,0,-,-,
New Hampshire,-,4,30,13,-,1,1,-,
Rhode Island,-,4,20,9,-,1,-,-,
Vermont,-,3,11,4,-,0,-,-,
Middle Atlantic,14,85,852,497,1,6,35,18,
New Jersey,2,12,88,92,1,3,15,16,
New York (excluding New York City),-,45,315,141,-,2,11,-,
New York City,5,22,190,132,-,6,-,1,
Pennsylvania,7,21,259,132,-,2,9,1,
East North Central,21,92,1,047,525,1,4,38,10,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,203,167,-,0,-,-,
Michigan,2,18,196,121,-,2,4,4,
Ohio,17,41,488,229,1,4,34,6,
Wisconsin,2,19,160,8,-,0,-,-,
West North Central,3,32,332,176,-,2,12,20,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,20,218,114,-,2,12,11,
Nebraska,3,7,55,27,-,0,-,-,
North Dakota,-,4,23,14,-,0,-,-,
South Dakota,-,7,36,21,-,1,-,9,
South Atlantic,17,74,647,637,1,5,12,7,
Delaware,-,5,41,24,-,0,-,-,
District of Columbia,-,2,15,8,-,0,-,-,
Florida,17,26,290,221,1,3,9,5,
Georgia,-,18,34,200,-,0,-,-,
Maryland,-,11,15,86,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,10,-,3,1,1,
Virginia,-,2,6,6,-,0,-,-,
West Virginia,-,11,65,82,-,2,2,-,
East South Central,16,45,506,413,-,2,2,2,
Alabama,-,19,138,116,-,1,1,-,
Kentucky,3,12,90,45,-,2,1,2,
Mississippi,3,6,76,63,-,0,-,-,
Tennessee,10,28,202,189,-,0,-,-,
West South Central,15,132,633,468,-,5,14,14,
Arkansas,6,10,97,55,-,1,1,-,
Louisiana,-,11,69,139,-,2,2,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,9,122,467,274,-,5,11,14,
Mountain,22,94,1,242,673,-,3,14,7,
Arizona,-,48,562,290,-,1,3,3,
Colorado,12,28,271,135,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,35,25,-,1,-,-,
Nevada,-,10,110,78,-,1,1,2,
New Mexico,7,16,167,66,-,0,-,-,
Utah,3,12,97,59,-,2,8,2,
Wyoming,-,3,-,20,-,0,-,-,
Pacific,3,12,92,63,-,2,6,-,
Alaska,3,11,81,52,-,2,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,11,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,113,462,5,606,3,597,3,14,134,78,
