Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,67,512,7,544,4,547,4,14,168,106,
New England,6,22,384,180,-,1,1,-,
Connecticut,-,6,51,44,-,0,-,-,
Maine,1,7,79,38,-,0,-,-,
Massachusetts,5,10,161,59,-,0,-,-,
New Hampshire,-,4,39,19,-,1,1,-,
Rhode Island,-,5,33,14,-,1,-,-,
Vermont,-,3,21,6,-,0,-,-,
Middle Atlantic,19,85,1,063,616,2,6,43,28,
New Jersey,2,12,107,120,2,3,21,21,
New York (excluding New York City),11,45,420,173,-,2,7,-,
New York City,4,22,233,165,-,1,-,7,
Pennsylvania,2,22,303,158,-,3,15,-,
East North Central,1,94,1,336,660,-,4,40,15,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,306,206,-,0,-,-,
Michigan,-,20,290,148,-,2,4,5,
Ohio,-,41,542,294,-,4,36,10,
Wisconsin,1,19,198,12,-,0,-,-,
West North Central,1,32,409,220,-,2,15,26,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,1,22,256,143,-,2,15,16,
Nebraska,-,10,75,33,-,0,-,-,
North Dakota,-,4,24,15,-,0,-,-,
South Dakota,-,7,54,29,-,1,-,10,
South Atlantic,11,77,1,005,830,1,5,16,8,
Delaware,-,5,50,30,-,0,-,-,
District of Columbia,-,3,25,9,-,0,-,-,
Florida,8,26,371,301,1,3,12,5,
Georgia,-,21,180,248,-,0,-,-,
Maryland,3,16,110,107,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,31,-,3,1,1,
Virginia,-,2,10,9,-,0,-,1,
West Virginia,-,11,78,95,-,2,3,-,
East South Central,5,45,709,512,-,2,3,3,
Alabama,1,19,204,138,-,1,1,-,
Kentucky,1,12,132,63,-,2,2,3,
Mississippi,1,6,89,76,-,0,-,-,
Tennessee,2,28,284,235,-,0,-,-,
West South Central,3,174,910,607,-,5,25,17,
Arkansas,3,13,133,67,-,0,-,-,
Louisiana,-,16,162,150,-,3,9,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,156,615,390,-,5,16,17,
Mountain,18,94,1,595,842,-,2,19,9,
Arizona,6,48,664,361,-,1,5,4,
Colorado,5,28,378,164,-,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,2,5,55,36,-,1,1,-,
Nevada,2,10,143,89,-,1,1,2,
New Mexico,1,16,234,93,-,0,-,-,
Utah,2,12,121,76,-,2,9,3,
Wyoming,-,3,-,23,-,0,-,-,
Pacific,3,13,133,80,1,2,6,-,
Alaska,3,12,118,69,1,2,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,15,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,67,512,7,544,4,548,4,14,168,106,
