Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,120,401,2,664,1,697,3,13,62,38,
New England,-,17,41,81,-,1,-,-,
Connecticut,-,6,12,26,-,0,-,-,
Maine,-,7,13,12,-,0,-,-,
Massachusetts,-,9,-,25,-,0,-,-,
New Hampshire,-,4,8,9,-,1,-,-,
Rhode Island,-,2,5,5,-,1,-,-,
Vermont,-,3,3,4,-,0,-,-,
Middle Atlantic,29,84,429,268,-,6,16,14,
New Jersey,3,12,45,57,-,3,4,13,
New York (excluding New York City),11,46,155,67,-,3,7,1,
New York City,8,22,107,81,-,6,-,-,
Pennsylvania,7,18,122,63,-,2,5,-,
East North Central,32,91,526,244,2,4,21,3,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,77,71,-,1,1,-,
Michigan,1,18,96,58,-,2,3,1,
Ohio,24,41,268,111,2,4,17,2,
Wisconsin,7,19,85,4,-,0,-,-,
West North Central,6,28,202,88,1,4,6,9,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,6,22,137,61,1,2,6,6,
Nebraska,-,7,30,10,-,0,-,-,
North Dakota,-,3,9,4,-,0,-,-,
South Dakota,-,7,26,13,-,3,-,3,
South Atlantic,13,69,312,299,-,5,6,3,
Delaware,2,5,17,9,-,0,-,-,
District of Columbia,-,2,6,5,-,0,-,-,
Florida,11,26,145,99,-,3,6,3,
Georgia,-,17,22,99,-,0,-,-,
Maryland,-,11,-,47,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,101,-,-,3,-,-,
Virginia,-,1,-,2,-,0,-,-,
West Virginia,-,13,21,38,-,0,-,-,
East South Central,2,43,231,190,-,2,1,1,
Alabama,-,19,74,55,-,1,1,-,
Kentucky,-,8,31,20,-,2,-,1,
Mississippi,2,8,39,29,-,0,-,-,
Tennessee,-,26,87,86,-,0,-,-,
West South Central,-,75,207,158,-,3,1,5,
Arkansas,-,10,47,21,-,0,-,-,
Louisiana,-,29,14,65,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,65,146,72,-,3,1,5,
Mountain,38,91,681,339,-,2,7,3,
Arizona,25,44,324,144,-,1,3,2,
Colorado,9,28,158,64,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,12,12,-,1,-,-,
Nevada,-,10,55,48,-,1,-,-,
New Mexico,-,14,81,36,-,0,-,-,
Utah,4,12,51,27,-,1,4,1,
Wyoming,-,3,-,8,-,0,-,-,
Pacific,-,12,35,30,-,2,4,-,
Alaska,-,11,32,26,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,3,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,120,401,2,664,1,698,3,13,62,38,
