Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,64,392,1,956,1,287,3,13,48,25,
New England,-,17,27,57,-,1,-,-,
Connecticut,-,6,3,17,-,0,-,-,
Maine,-,7,12,9,-,0,-,-,
Massachusetts,-,9,-,19,-,0,-,-,
New Hampshire,-,4,5,6,-,1,-,-,
Rhode Island,-,2,4,3,-,1,-,-,
Vermont,-,3,3,3,-,0,-,-,
Middle Atlantic,25,82,338,198,-,6,14,9,
New Jersey,2,12,37,45,-,3,2,9,
New York (excluding New York City),12,44,122,45,-,3,6,-,
New York City,7,22,91,57,-,6,-,-,
Pennsylvania,4,18,88,51,-,2,6,-,
East North Central,4,86,377,176,1,4,17,2,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,20,55,51,-,1,1,-,
Michigan,1,18,67,40,1,2,3,1,
Ohio,-,41,193,82,-,4,13,1,
Wisconsin,3,19,62,3,-,0,-,-,
West North Central,5,27,150,61,-,4,2,4,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,4,22,106,44,-,2,2,4,
Nebraska,-,7,19,6,-,0,-,-,
North Dakota,-,3,7,2,-,0,-,-,
South Dakota,1,7,18,9,-,3,-,-,
South Atlantic,5,63,226,230,2,5,6,3,
Delaware,1,5,13,7,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,
Florida,4,26,102,70,2,3,5,3,
Georgia,-,17,20,82,-,0,-,-,
Maryland,-,11,-,34,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,88,-,-,3,1,-,
Virginia,-,1,-,1,-,0,-,-,
West Virginia,-,13,-,33,-,0,-,-,
East South Central,3,43,176,149,-,2,1,1,
Alabama,-,18,52,41,-,1,1,-,
Kentucky,-,8,26,15,-,2,-,1,
Mississippi,3,8,31,24,-,0,-,-,
Tennessee,-,26,67,69,-,0,-,-,
West South Central,-,61,127,127,-,3,1,4,
Arkansas,-,10,36,13,-,0,-,-,
Louisiana,-,29,13,60,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,51,78,54,-,3,1,4,
Mountain,22,91,507,267,-,2,6,2,
Arizona,17,44,215,121,-,1,2,1,
Colorado,-,28,135,50,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,6,9,-,1,-,-,
Nevada,-,10,49,37,-,1,-,-,
New Mexico,-,14,63,29,-,0,-,-,
Utah,5,12,39,16,-,1,4,1,
Wyoming,-,3,-,5,-,0,-,-,
Pacific,-,12,28,22,-,2,1,-,
Alaska,-,11,26,18,-,2,1,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,2,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,64,392,1,956,1,288,3,13,48,25,
