Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,66,508,7,327,4,402,3,15,164,100,
New England,2,22,341,172,-,1,1,-,
Connecticut,-,6,29,43,-,0,-,-,
Maine,2,7,78,39,-,0,-,-,
Massachusetts,-,10,147,54,-,0,-,-,
New Hampshire,-,4,37,19,-,1,1,-,
Rhode Island,-,5,33,12,-,1,-,-,
Vermont,-,3,17,5,-,0,-,-,
Middle Atlantic,14,85,1,039,592,1,5,40,27,
New Jersey,-,12,105,112,-,3,19,20,
New York (excluding New York City),10,45,409,164,1,2,7,-,
New York City,4,22,228,163,-,1,-,7,
Pennsylvania,-,23,297,153,-,3,14,-,
East North Central,3,94,1,311,648,-,4,40,13,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,300,201,-,0,-,-,
Michigan,1,20,288,147,-,2,4,5,
Ohio,-,41,529,291,-,4,36,8,
Wisconsin,2,19,194,9,-,0,-,-,
West North Central,1,32,393,210,-,2,15,25,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,22,251,138,-,2,15,15,
Nebraska,1,10,74,31,-,0,-,-,
North Dakota,-,4,23,15,-,0,-,-,
South Dakota,-,7,45,26,-,1,-,10,
South Atlantic,19,77,991,793,-,5,15,8,
Delaware,-,5,50,29,-,0,-,-,
District of Columbia,-,3,24,8,-,0,-,-,
Florida,8,26,363,288,-,3,11,5,
Georgia,-,21,180,238,-,0,-,-,
Maryland,11,16,105,101,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,28,-,3,1,1,
Virginia,-,2,10,9,-,0,-,1,
West Virginia,-,11,78,92,-,2,3,-,
East South Central,9,45,700,500,-,2,3,3,
Alabama,2,19,201,133,-,1,1,-,
Kentucky,-,12,129,61,-,2,2,3,
Mississippi,-,6,88,76,-,0,-,-,
Tennessee,7,28,282,230,-,0,-,-,
West South Central,2,172,856,594,-,5,25,16,
Arkansas,-,13,129,66,-,0,-,-,
Louisiana,2,16,162,150,-,3,9,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,154,565,378,-,5,16,16,
Mountain,13,94,1,567,820,2,2,20,8,
Arizona,9,48,652,351,1,1,6,3,
Colorado,-,28,373,163,-,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,53,34,-,1,1,-,
Nevada,-,10,140,88,-,1,1,2,
New Mexico,1,16,230,90,-,0,-,-,
Utah,2,12,119,73,1,2,9,3,
Wyoming,-,3,-,21,-,0,-,-,
Pacific,3,13,129,73,-,2,5,-,
Alaska,3,12,114,62,-,2,5,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,15,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,66,508,7,327,4,403,3,15,164,100,
