Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,80,400,2,471,1,542,5,13,60,34,
New England,-,17,41,70,-,1,-,-,
Connecticut,-,6,12,21,-,0,-,-,
Maine,-,7,13,10,-,0,-,-,
Massachusetts,-,9,-,22,-,0,-,-,
New Hampshire,-,4,8,8,-,1,-,-,
Rhode Island,-,2,5,5,-,1,-,-,
Vermont,-,3,3,4,-,0,-,-,
Middle Atlantic,23,84,389,240,2,6,16,13,
New Jersey,4,12,42,55,1,3,4,13,
New York (excluding New York City),12,46,144,58,1,3,7,-,
New York City,7,22,99,67,-,6,-,-,
Pennsylvania,-,18,104,60,-,2,5,-,
East North Central,16,91,488,219,2,4,21,3,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,77,66,-,1,1,-,
Michigan,-,18,92,48,-,2,3,1,
Ohio,11,41,242,101,2,4,17,2,
Wisconsin,5,19,77,4,-,0,-,-,
West North Central,8,28,191,77,-,4,4,7,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,8,22,126,53,-,2,4,5,
Nebraska,-,7,30,9,-,0,-,-,
North Dakota,-,3,9,3,-,0,-,-,
South Dakota,-,7,26,12,-,3,-,2,
South Atlantic,16,69,299,273,1,5,6,3,
Delaware,1,5,15,9,-,0,-,-,
District of Columbia,-,2,6,3,-,0,-,-,
Florida,15,26,134,89,1,3,6,3,
Georgia,-,17,22,93,-,0,-,-,
Maryland,-,11,-,43,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,101,-,-,3,-,-,
Virginia,-,1,-,1,-,0,-,-,
West Virginia,-,13,21,35,-,0,-,-,
East South Central,2,43,228,173,-,2,1,1,
Alabama,-,19,74,53,-,1,1,-,
Kentucky,-,8,31,16,-,2,-,1,
Mississippi,1,8,36,26,-,0,-,-,
Tennessee,1,26,87,78,-,0,-,-,
West South Central,2,75,207,150,-,3,1,4,
Arkansas,1,10,47,18,-,0,-,-,
Louisiana,-,29,14,64,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,1,65,146,68,-,3,1,4,
Mountain,13,91,594,315,-,2,7,3,
Arizona,11,42,251,139,-,1,3,2,
Colorado,-,28,149,56,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,12,12,-,1,-,-,
Nevada,-,10,55,46,-,1,-,-,
New Mexico,-,14,81,33,-,0,-,-,
Utah,2,12,46,22,-,1,4,1,
Wyoming,-,3,-,7,-,0,-,-,
Pacific,-,12,34,25,-,2,4,-,
Alaska,-,11,32,21,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,2,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,80,400,2,471,1,543,5,13,60,34,
