Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,120,421,3,072,1,860,6,13,68,41,
New England,3,17,51,88,-,1,-,-,
Connecticut,-,6,12,26,-,0,-,-,
Maine,3,7,20,18,-,0,-,-,
Massachusetts,-,9,-,26,-,0,-,-,
New Hampshire,-,4,8,9,-,1,-,-,
Rhode Island,-,4,5,5,-,1,-,-,
Vermont,-,3,6,4,-,0,-,-,
Middle Atlantic,25,84,460,299,3,6,19,14,
New Jersey,4,12,49,65,-,3,4,13,
New York (excluding New York City),16,46,171,72,2,3,9,1,
New York City,4,22,111,90,-,6,-,-,
Pennsylvania,1,18,129,72,1,2,6,-,
East North Central,6,92,576,273,-,4,19,4,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,28,109,81,-,0,-,-,
Michigan,1,18,107,70,-,2,3,1,
Ohio,-,41,268,118,-,4,16,3,
Wisconsin,4,19,92,4,-,0,-,-,
West North Central,8,30,218,94,-,4,6,11,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,8,22,149,66,-,2,6,6,
Nebraska,-,7,34,10,-,0,-,-,
North Dakota,-,3,9,5,-,0,-,-,
South Dakota,-,7,26,13,-,3,-,5,
South Atlantic,21,70,340,326,-,5,6,3,
Delaware,2,5,19,9,-,0,-,-,
District of Columbia,-,2,8,5,-,0,-,-,
Florida,17,26,162,107,-,3,6,3,
Georgia,2,18,25,103,-,0,-,-,
Maryland,-,11,-,49,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,101,-,-,3,-,-,
Virginia,-,1,1,2,-,0,-,-,
West Virginia,-,13,24,51,-,0,-,-,
East South Central,6,43,281,200,-,2,1,1,
Alabama,-,19,92,57,-,1,1,-,
Kentucky,-,8,34,23,-,2,-,1,
Mississippi,6,8,46,30,-,0,-,-,
Tennessee,-,26,109,90,-,0,-,-,
West South Central,7,102,347,175,1,3,4,5,
Arkansas,5,10,63,22,1,0,1,-,
Louisiana,-,29,32,72,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,2,92,252,81,-,3,3,5,
Mountain,38,93,750,372,1,2,8,3,
Arizona,27,44,352,156,1,1,4,2,
Colorado,-,28,158,72,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,21,14,-,1,-,-,
Nevada,1,10,62,55,-,1,-,-,
New Mexico,4,15,100,38,-,0,-,-,
Utah,5,12,57,29,-,1,4,1,
Wyoming,-,3,-,8,-,0,-,-,
Pacific,6,12,49,33,1,2,5,-,
Alaska,6,11,46,27,1,2,5,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,3,6,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,120,421,3,072,1,861,6,13,68,41,
