Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,258,613,12,646,10,267,10,23,327,234,
New England,2,26,674,405,-,1,3,-,
Connecticut,-,10,162,98,-,0,-,-,
Maine,2,7,125,77,-,0,-,-,
Massachusetts,-,12,236,141,-,1,2,-,
New Hampshire,-,6,64,40,-,1,1,-,
Rhode Island,-,5,52,27,-,1,-,-,
Vermont,-,2,35,22,-,0,-,-,
Middle Atlantic,40,86,1,725,1,173,6,8,79,46,
New Jersey,4,13,192,215,2,3,35,37,
New York (excluding New York City),30,45,668,336,4,4,27,4,
New York City,-,22,370,297,-,0,-,2,
Pennsylvania,6,22,495,325,-,2,17,3,
East North Central,15,93,2,101,1,796,-,10,75,55,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,3,27,554,467,-,1,2,-,
Michigan,-,29,494,433,-,1,9,21,
Ohio,-,61,895,640,-,10,64,34,
Wisconsin,12,19,158,256,-,0,-,-,
West North Central,22,35,696,759,1,3,35,51,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,14,-,275,-,0,-,-,
Missouri,11,22,401,272,1,3,34,38,
Nebraska,11,10,138,84,-,1,1,-,
North Dakota,-,6,68,54,-,0,-,-,
South Dakota,-,7,89,74,-,0,-,13,
South Atlantic,44,86,1,842,1,896,1,4,29,27,
Delaware,2,6,6,61,-,0,-,-,
District of Columbia,-,3,25,17,-,0,-,-,
Florida,21,36,577,624,-,2,15,12,
Georgia,-,30,268,534,-,0,-,-,
Maryland,11,22,300,197,1,2,5,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,9,26,400,256,-,3,5,14,
Virginia,-,2,22,10,-,0,-,1,
West Virginia,1,19,244,197,-,2,4,-,
East South Central,27,45,1,221,1,021,2,2,19,9,
Alabama,5,19,336,283,-,2,4,2,
Kentucky,7,28,276,126,2,2,15,7,
Mississippi,-,11,142,143,-,0,-,-,
Tennessee,15,26,467,469,-,0,-,-,
West South Central,21,175,1,342,1,236,-,5,50,30,
Arkansas,21,13,227,157,-,0,-,-,
Louisiana,-,16,247,265,-,3,19,3,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,157,868,814,-,5,31,27,
Mountain,87,114,2,803,1,772,-,3,28,15,
Arizona,50,56,1,050,676,-,1,9,6,
Colorado,18,29,659,405,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,2,6,89,101,-,1,1,3,
Nevada,1,20,416,178,-,2,4,2,
New Mexico,11,17,365,201,-,0,-,-,
Utah,5,11,197,174,-,2,12,4,
Wyoming,-,4,27,37,-,0,-,-,
Pacific,-,15,242,209,-,3,9,1,
Alaska,-,13,186,166,-,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,56,43,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,1,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,1,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,258,613,12,647,10,268,10,23,327,234,
