Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,142,614,10,665,9,308,7,16,284,211,
New England,1,26,643,360,-,1,3,-,
Connecticut,-,10,151,86,-,0,-,-,
Maine,1,7,118,69,-,0,-,-,
Massachusetts,-,12,236,126,-,1,2,-,
New Hampshire,-,6,58,35,-,1,1,-,
Rhode Island,-,5,47,25,-,1,-,-,
Vermont,-,2,33,19,-,0,-,-,
Middle Atlantic,33,86,1,612,1,086,4,6,69,43,
New Jersey,6,13,179,202,-,3,30,35,
New York (excluding New York City),11,45,608,314,3,4,24,4,
New York City,9,22,365,276,-,0,-,2,
Pennsylvania,7,22,460,294,1,2,15,2,
East North Central,7,93,1,926,1,646,-,4,65,51,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,24,502,426,-,1,2,-,
Michigan,-,29,494,395,-,1,9,21,
Ohio,-,41,805,586,-,4,54,30,
Wisconsin,7,19,125,239,-,0,-,-,
West North Central,6,42,636,682,-,3,31,50,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,244,-,0,-,-,
Missouri,5,22,363,243,-,3,30,37,
Nebraska,1,10,120,78,-,1,1,-,
North Dakota,-,6,65,49,-,0,-,-,
South Dakota,-,7,88,68,-,0,-,13,
South Atlantic,34,86,1,622,1,661,3,4,24,19,
Delaware,2,6,2,55,-,0,-,-,
District of Columbia,-,3,25,17,-,0,-,-,
Florida,24,28,513,581,1,2,13,10,
Georgia,1,30,268,495,-,0,-,-,
Maryland,7,22,277,189,2,1,4,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,292,139,-,3,3,8,
Virginia,-,2,20,10,-,0,-,1,
West Virginia,-,18,225,175,-,2,4,-,
East South Central,19,45,1,133,939,-,2,14,9,
Alabama,1,19,308,267,-,1,1,2,
Kentucky,-,28,249,118,-,2,13,7,
Mississippi,11,7,142,136,-,0,-,-,
Tennessee,7,28,434,418,-,0,-,-,
West South Central,10,175,1,301,1,139,-,5,50,25,
Arkansas,3,13,196,143,-,0,-,-,
Louisiana,7,16,237,254,-,3,19,2,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,157,868,742,-,5,31,23,
Mountain,31,97,1,561,1,599,-,3,19,13,
Arizona,-,48,-,598,-,0,-,6,
Colorado,21,29,615,358,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,3,6,82,100,-,2,1,1,
Nevada,-,18,327,161,-,2,4,2,
New Mexico,4,16,330,184,-,0,-,-,
Utah,3,9,180,161,-,2,12,4,
Wyoming,-,4,27,37,-,0,-,-,
Pacific,1,15,231,196,-,3,9,1,
Alaska,1,13,186,157,-,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,45,39,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,1,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,1,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,142,614,10,666,9,309,7,16,284,211,
