Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,149,448,4,719,2,993,6,13,116,71,
New England,2,17,112,125,-,1,1,-,
Connecticut,-,6,29,35,-,0,-,-,
Maine,1,7,36,30,-,0,-,-,
Massachusetts,-,9,-,36,-,0,-,-,
New Hampshire,-,4,24,11,-,1,1,-,
Rhode Island,1,4,15,9,-,1,-,-,
Vermont,-,3,8,4,-,0,-,-,
Middle Atlantic,36,86,742,430,4,6,32,19,
New Jersey,4,12,75,80,3,3,11,16,
New York (excluding New York City),16,46,277,117,1,3,14,3,
New York City,7,22,172,119,-,6,-,-,
Pennsylvania,9,19,218,114,-,2,7,-,
East North Central,12,92,888,442,-,4,33,9,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,166,140,-,0,-,-,
Michigan,3,18,164,106,-,2,3,3,
Ohio,-,41,413,190,-,4,30,6,
Wisconsin,9,19,145,6,-,0,-,-,
West North Central,4,32,302,160,-,2,9,18,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,1,20,199,102,-,2,9,10,
Nebraska,2,7,44,25,-,0,-,-,
North Dakota,1,4,23,13,-,0,-,-,
South Dakota,-,7,36,20,-,1,-,8,
South Atlantic,19,73,550,536,1,5,9,5,
Delaware,2,5,37,18,-,0,-,-,
District of Columbia,-,2,9,8,-,0,-,-,
Florida,11,26,245,185,1,3,8,3,
Georgia,-,18,34,167,-,0,-,-,
Maryland,6,11,15,76,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,1,-,3,1,1,
Virginia,-,2,5,6,-,0,-,-,
West Virginia,-,11,24,75,-,0,-,-,
East South Central,18,43,421,322,-,2,2,2,
Alabama,2,19,118,92,-,1,1,-,
Kentucky,4,12,73,35,-,2,1,2,
Mississippi,2,8,65,52,-,0,-,-,
Tennessee,10,26,165,143,-,0,-,-,
West South Central,9,120,531,350,1,4,12,14,
Arkansas,4,10,83,47,-,1,1,-,
Louisiana,-,29,61,87,-,2,2,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,5,110,387,216,1,4,9,14,
Mountain,46,94,1,095,575,-,3,13,4,
Arizona,22,48,505,250,-,1,2,2,
Colorado,12,28,235,110,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,33,20,-,1,-,-,
Nevada,1,10,101,70,-,1,1,1,
New Mexico,5,16,139,58,-,0,-,-,
Utah,5,12,82,47,-,2,8,1,
Wyoming,-,3,-,20,-,0,-,-,
Pacific,3,12,78,53,-,2,5,-,
Alaska,3,11,67,43,-,2,5,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,11,10,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,149,448,4,719,2,994,6,13,116,71,
