Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,137,425,3,334,1,993,6,13,74,46,
New England,3,17,66,92,-,1,-,-,
Connecticut,-,6,12,26,-,0,-,-,
Maine,3,7,25,20,-,0,-,-,
Massachusetts,-,9,-,27,-,0,-,-,
New Hampshire,-,4,16,9,-,1,-,-,
Rhode Island,-,4,6,6,-,1,-,-,
Vermont,-,3,7,4,-,0,-,-,
Middle Atlantic,34,84,501,311,5,6,24,14,
New Jersey,5,12,54,66,-,3,4,13,
New York (excluding New York City),15,46,186,79,4,3,13,1,
New York City,6,22,118,93,-,6,-,-,
Pennsylvania,8,18,143,73,1,2,7,-,
East North Central,7,92,622,290,-,4,21,5,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,28,119,87,-,0,-,-,
Michigan,2,18,113,73,-,2,3,1,
Ohio,-,41,291,126,-,4,18,4,
Wisconsin,4,19,99,4,-,0,-,-,
West North Central,17,30,241,101,-,4,6,12,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,15,22,165,70,-,2,6,7,
Nebraska,2,7,36,10,-,0,-,-,
North Dakota,-,3,9,7,-,0,-,-,
South Dakota,-,7,31,14,-,3,-,5,
South Atlantic,21,73,365,347,1,5,7,3,
Delaware,4,5,26,9,-,0,-,-,
District of Columbia,-,2,8,6,-,0,-,-,
Florida,15,26,177,115,1,3,7,3,
Georgia,1,18,26,111,-,0,-,-,
Maryland,1,11,1,51,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,101,-,-,3,-,-,
Virginia,-,1,2,2,-,0,-,-,
West Virginia,-,11,24,53,-,0,-,-,
East South Central,13,43,319,222,-,2,2,2,
Alabama,3,19,101,61,-,1,1,-,
Kentucky,7,8,53,26,-,2,1,2,
Mississippi,2,8,48,34,-,0,-,-,
Tennessee,1,26,117,101,-,0,-,-,
West South Central,6,105,367,198,-,3,4,6,
Arkansas,5,10,70,24,-,1,1,-,
Louisiana,-,29,32,76,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,1,95,265,98,-,3,3,6,
Mountain,33,93,797,397,-,2,6,4,
Arizona,16,45,380,170,-,1,2,2,
Colorado,10,28,168,76,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,22,14,-,1,-,-,
Nevada,-,10,63,57,-,1,-,1,
New Mexico,3,16,105,41,-,0,-,-,
Utah,4,12,59,31,-,1,4,1,
Wyoming,-,3,-,8,-,0,-,-,
Pacific,3,12,56,35,-,2,4,-,
Alaska,3,11,52,29,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,4,6,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,137,425,3,334,1,994,6,13,74,46,
