Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,86,519,7,952,5,123,3,14,194,115,
New England,2,24,415,200,-,1,1,-,
Connecticut,-,6,65,51,-,0,-,-,
Maine,1,7,84,40,-,0,-,-,
Massachusetts,1,10,166,66,-,0,-,-,
New Hampshire,-,5,41,21,-,1,1,-,
Rhode Island,-,5,33,14,-,1,-,-,
Vermont,-,3,26,8,-,0,-,-,
Middle Atlantic,5,85,1,106,684,1,6,46,31,
New Jersey,-,12,114,132,-,3,22,21,
New York (excluding New York City),4,45,433,199,1,1,10,2,
New York City,1,22,245,178,-,1,-,7,
Pennsylvania,-,23,314,175,-,3,14,1,
East North Central,14,86,1,244,828,2,4,45,15,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,2,25,337,223,-,0,-,-,
Michigan,1,20,315,159,-,2,5,5,
Ohio,7,41,580,323,2,4,40,10,
Wisconsin,4,19,12,123,-,0,-,-,
West North Central,5,34,442,252,-,2,18,29,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,22,264,162,-,2,18,18,
Nebraska,2,10,78,42,-,0,-,-,
North Dakota,-,4,42,15,-,0,-,-,
South Dakota,3,7,58,33,-,1,-,11,
South Atlantic,28,79,1,157,931,-,4,18,7,
Delaware,-,5,52,33,-,0,-,-,
District of Columbia,-,3,25,9,-,0,-,-,
Florida,11,26,404,347,-,2,12,4,
Georgia,1,22,182,267,-,0,-,-,
Maryland,13,16,140,119,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,3,25,260,42,-,3,3,1,
Virginia,-,2,12,9,-,0,-,1,
West Virginia,-,11,82,105,-,2,3,-,
East South Central,9,45,757,555,-,2,5,5,
Alabama,4,19,220,155,-,1,1,1,
Kentucky,2,12,141,70,-,2,4,4,
Mississippi,1,6,91,79,-,0,-,-,
Tennessee,2,28,305,251,-,0,-,-,
West South Central,5,174,1,007,676,-,5,35,19,
Arkansas,4,13,143,78,-,0,-,-,
Louisiana,-,16,172,159,-,3,13,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,1,156,692,439,-,5,22,19,
Mountain,15,94,1,675,910,-,2,20,8,
Arizona,4,48,686,389,-,1,5,4,
Colorado,1,28,391,175,-,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,59,45,-,1,1,-,
Nevada,1,10,167,96,-,1,2,2,
New Mexico,2,16,244,101,-,0,-,-,
Utah,6,12,128,81,-,2,9,2,
Wyoming,-,3,-,23,-,0,-,-,
Pacific,3,13,149,87,-,3,6,1,
Alaska,3,12,127,75,-,3,6,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,4,22,12,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,86,519,7,952,5,124,3,14,194,115,
