Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,93,375,944,632,3,14,25,10,
New England,1,17,11,27,-,1,-,-,
Connecticut,-,6,3,9,-,0,-,-,
Maine,1,7,7,4,-,0,-,-,
Massachusetts,-,6,-,9,-,1,-,-,
New Hampshire,-,2,-,3,-,1,-,-,
Rhode Island,-,2,-,1,-,0,-,-,
Vermont,-,2,1,1,-,0,-,-,
Middle Atlantic,33,61,196,86,3,6,9,3,
New Jersey,2,9,27,22,-,3,1,3,
New York (excluding New York City),15,31,67,14,3,2,5,-,
New York City,11,20,54,24,-,6,-,-,
Pennsylvania,5,18,48,26,-,2,3,-,
East North Central,5,68,194,77,-,4,10,1,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,14,6,20,-,0,-,-,
Michigan,1,13,27,18,-,2,1,1,
Ohio,-,41,130,36,-,3,9,-,
Wisconsin,4,16,31,3,-,0,-,-,
West North Central,14,20,70,30,-,4,2,2,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,11,16,50,22,-,2,2,2,
Nebraska,3,7,11,2,-,0,-,-,
North Dakota,-,3,5,2,-,0,-,-,
South Dakota,-,5,4,4,-,3,-,-,
South Atlantic,18,58,125,121,-,5,-,2,
Delaware,1,5,6,2,-,0,-,-,
District of Columbia,-,2,1,-,-,0,-,-,
Florida,16,26,67,31,-,3,-,2,
Georgia,1,17,19,48,-,0,-,-,
Maryland,-,11,-,22,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,21,32,-,-,3,-,-,
Virginia,-,1,-,1,-,0,-,-,
West Virginia,-,13,-,17,-,0,-,-,
East South Central,16,44,85,74,-,2,-,-,
Alabama,2,17,26,26,-,1,-,-,
Kentucky,-,8,5,4,-,2,-,-,
Mississippi,4,8,12,14,-,0,-,-,
Tennessee,10,26,42,30,-,0,-,-,
West South Central,4,57,67,51,-,3,1,1,
Arkansas,1,10,14,1,-,0,-,-,
Louisiana,1,29,13,33,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,2,47,40,17,-,3,1,1,
Mountain,2,91,182,153,-,2,2,1,
Arizona,-,42,119,75,-,1,-,-,
Colorado,-,28,-,26,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,5,2,-,1,-,-,
Nevada,-,10,4,20,-,1,-,-,
New Mexico,1,13,35,20,-,0,-,-,
Utah,-,12,19,6,-,1,2,1,
Wyoming,-,3,-,4,-,0,-,-,
Pacific,-,12,14,13,-,2,1,-,
Alaska,-,11,13,9,-,2,1,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,1,4,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,-,-,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,93,375,944,632,3,14,25,10,
