Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,78,507,7,123,4,249,2,15,161,95,
New England,3,22,327,166,-,1,2,-,
Connecticut,-,6,29,39,-,0,-,-,
Maine,3,7,74,38,-,0,-,-,
Massachusetts,-,10,139,54,-,1,1,-,
New Hampshire,-,4,35,18,-,1,1,-,
Rhode Island,-,5,33,12,-,1,-,-,
Vermont,-,3,17,5,-,0,-,-,
Middle Atlantic,22,85,1,023,572,1,5,39,25,
New Jersey,2,12,105,108,-,3,19,18,
New York (excluding New York City),17,45,399,161,1,2,6,-,
New York City,-,22,222,154,-,1,-,7,
Pennsylvania,3,23,297,149,-,3,14,-,
East North Central,3,94,1,264,623,-,4,40,12,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,25,297,195,-,0,-,-,
Michigan,-,20,249,138,-,2,4,4,
Ohio,-,41,531,282,-,4,36,8,
Wisconsin,2,19,187,8,-,0,-,-,
West North Central,-,32,379,204,-,2,13,25,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,21,238,132,-,2,13,15,
Nebraska,-,10,73,31,-,0,-,-,
North Dakota,-,4,23,15,-,0,-,-,
South Dakota,-,7,45,26,-,1,-,10,
South Atlantic,19,77,956,761,-,5,15,8,
Delaware,1,5,50,28,-,0,-,-,
District of Columbia,-,3,22,8,-,0,-,-,
Florida,13,26,355,274,-,3,11,5,
Georgia,-,21,180,234,-,0,-,-,
Maryland,5,12,80,96,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,22,-,3,1,1,
Virginia,-,2,10,8,-,0,-,1,
West Virginia,-,11,78,91,-,2,3,-,
East South Central,6,45,678,480,-,2,3,3,
Alabama,1,19,198,130,-,1,1,-,
Kentucky,1,12,129,58,-,2,2,3,
Mississippi,4,6,88,73,-,0,-,-,
Tennessee,-,28,263,219,-,0,-,-,
West South Central,5,172,829,577,-,5,25,15,
Arkansas,5,13,129,64,-,0,-,-,
Louisiana,-,16,150,150,-,3,9,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,154,550,363,-,5,16,15,
Mountain,19,94,1,543,795,1,2,19,7,
Arizona,6,48,636,344,-,1,6,3,
Colorado,2,28,373,156,-,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,3,5,52,33,-,1,1,-,
Nevada,2,10,137,85,-,1,1,2,
New Mexico,6,16,229,85,-,0,-,-,
Utah,-,12,116,71,1,2,8,2,
Wyoming,-,3,-,21,-,0,-,-,
Pacific,1,13,124,71,-,2,5,-,
Alaska,1,12,111,60,-,2,5,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,13,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,78,507,7,123,4,250,2,15,161,95,
