Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,113,471,6,569,4,078,4,14,151,94,
New England,5,21,294,162,-,1,2,-,
Connecticut,-,6,29,39,-,0,-,-,
Maine,2,7,56,38,-,0,-,-,
Massachusetts,3,10,139,54,-,1,1,-,
New Hampshire,-,4,35,16,-,1,1,-,
Rhode Island,-,4,21,11,-,1,-,-,
Vermont,-,3,14,4,-,0,-,-,
Middle Atlantic,31,85,991,556,4,5,39,25,
New Jersey,6,12,103,105,3,3,19,18,
New York (excluding New York City),8,45,379,159,1,2,6,-,
New York City,11,22,221,146,-,1,-,7,
Pennsylvania,6,23,288,146,-,3,14,-,
East North Central,4,94,1,192,599,-,4,39,12,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,2,27,249,187,-,0,-,-,
Michigan,-,20,249,131,-,2,4,4,
Ohio,-,41,516,273,-,4,35,8,
Wisconsin,2,19,178,8,-,0,-,-,
West North Central,6,32,370,192,-,2,13,24,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,3,21,238,122,-,2,13,15,
Nebraska,3,7,64,31,-,0,-,-,
North Dakota,-,4,23,15,-,0,-,-,
South Dakota,-,7,45,24,-,1,-,9,
South Atlantic,32,77,921,731,-,5,15,8,
Delaware,1,5,49,28,-,0,-,-,
District of Columbia,-,2,17,8,-,0,-,-,
Florida,19,26,342,261,-,3,11,5,
Georgia,-,21,180,226,-,0,-,-,
Maryland,11,11,69,93,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,18,-,3,1,1,
Virginia,1,2,9,8,-,0,-,1,
West Virginia,-,11,74,89,-,2,3,-,
East South Central,9,45,571,467,-,2,2,3,
Alabama,1,19,163,126,-,1,1,-,
Kentucky,1,12,97,58,-,2,1,3,
Mississippi,3,6,84,72,-,0,-,-,
Tennessee,4,28,227,211,-,0,-,-,
West South Central,1,141,656,543,-,5,18,15,
Arkansas,1,10,106,62,-,1,1,-,
Louisiana,-,11,69,150,-,2,5,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,131,481,331,-,5,12,15,
Mountain,22,94,1,473,761,-,3,17,7,
Arizona,8,48,632,332,-,1,4,3,
Colorado,7,28,371,149,-,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,37,30,-,1,-,-,
Nevada,1,10,123,83,-,1,1,2,
New Mexico,5,16,192,78,-,0,-,-,
Utah,1,12,118,68,-,2,9,2,
Wyoming,-,3,-,21,-,0,-,-,
Pacific,3,12,101,67,-,2,6,-,
Alaska,3,11,88,56,-,2,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,13,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,113,471,6,569,4,079,4,14,151,94,
