Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,260,613,13,297,10,686,7,23,342,240,
New England,8,26,694,422,-,1,3,-,
Connecticut,-,10,168,107,-,0,-,-,
Maine,5,7,132,79,-,0,-,-,
Massachusetts,-,12,236,143,-,1,2,-,
New Hampshire,-,6,68,44,-,1,1,-,
Rhode Island,1,5,53,27,-,1,-,-,
Vermont,2,2,37,22,-,0,-,-,
Middle Atlantic,57,86,1,824,1,225,4,8,81,47,
New Jersey,5,13,197,227,-,3,35,38,
New York (excluding New York City),21,45,692,349,4,4,29,4,
New York City,18,25,413,311,-,0,-,2,
Pennsylvania,13,22,522,338,-,2,17,3,
East North Central,2,105,2,231,1,864,-,9,75,58,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,28,575,478,-,1,2,-,
Michigan,1,29,556,451,-,1,9,21,
Ohio,-,62,942,672,-,9,64,37,
Wisconsin,-,19,158,263,-,0,-,-,
West North Central,15,34,727,793,-,3,37,52,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,12,-,286,-,0,-,-,
Missouri,11,22,420,285,-,3,36,39,
Nebraska,3,11,141,88,-,1,1,-,
North Dakota,-,6,68,58,-,0,-,-,
South Dakota,1,7,98,76,-,0,-,13,
South Atlantic,34,89,1,905,1,953,-,3,29,27,
Delaware,1,6,8,62,-,0,-,-,
District of Columbia,-,3,26,17,-,0,-,-,
Florida,23,36,600,645,-,2,15,12,
Georgia,-,33,280,547,-,0,-,-,
Maryland,10,22,311,198,-,2,5,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,26,400,274,-,1,5,14,
Virginia,-,2,22,10,-,0,-,1,
West Virginia,-,19,258,200,-,2,4,-,
East South Central,22,45,1,279,1,057,-,2,19,9,
Alabama,1,19,341,294,-,2,4,2,
Kentucky,-,28,276,131,-,2,15,7,
Mississippi,-,13,163,144,-,0,-,-,
Tennessee,21,26,499,488,-,0,-,-,
West South Central,19,175,1,381,1,296,1,5,56,31,
Arkansas,17,21,243,166,-,0,-,-,
Louisiana,-,17,266,274,-,3,20,3,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,2,157,872,856,1,5,36,28,
Mountain,93,133,2,982,1,862,-,3,30,15,
Arizona,37,55,1,087,715,-,1,10,6,
Colorado,33,34,713,422,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,2,6,91,107,-,1,1,3,
Nevada,-,20,469,187,-,2,5,2,
New Mexico,16,17,386,211,-,0,-,-,
Utah,5,12,209,183,-,2,12,4,
Wyoming,-,4,27,37,-,0,-,-,
Pacific,10,15,274,214,2,3,12,1,
Alaska,10,13,214,170,2,3,12,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,60,44,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,1,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,1,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,260,613,13,298,10,687,7,23,342,240,
