Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,61,514,7,871,4,850,3,14,189,116,
New England,1,24,399,191,-,1,1,1,
Connecticut,-,6,59,49,-,0,-,-,
Maine,1,7,82,38,-,0,-,-,
Massachusetts,-,10,165,63,-,0,-,-,
New Hampshire,-,4,39,20,-,1,1,1,
Rhode Island,-,5,33,14,-,1,-,-,
Vermont,-,3,21,7,-,0,-,-,
Middle Atlantic,14,85,1,097,657,2,6,46,31,
New Jersey,3,12,114,128,1,3,22,21,
New York (excluding New York City),4,45,429,191,1,2,9,2,
New York City,5,22,244,172,-,1,-,7,
Pennsylvania,2,22,310,166,-,3,15,1,
East North Central,1,94,1,378,705,-,4,43,15,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,25,320,217,-,0,-,-,
Michigan,-,20,295,153,-,2,5,5,
Ohio,-,41,565,318,-,4,38,10,
Wisconsin,-,19,198,17,-,0,-,-,
West North Central,2,34,436,243,-,2,18,28,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,2,22,264,155,-,2,18,18,
Nebraska,-,10,76,40,-,0,-,-,
North Dakota,-,4,42,15,-,0,-,-,
South Dakota,-,7,54,33,-,1,-,10,
South Atlantic,17,78,1,042,898,-,5,16,8,
Delaware,2,5,52,31,-,0,-,-,
District of Columbia,-,3,25,9,-,0,-,-,
Florida,13,26,393,334,-,3,12,5,
Georgia,-,22,181,260,-,0,-,-,
Maryland,2,16,120,114,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,39,-,3,1,1,
Virginia,-,2,12,9,-,0,-,1,
West Virginia,-,11,78,102,-,2,3,-,
East South Central,5,45,739,538,1,2,5,5,
Alabama,1,19,210,150,-,1,1,1,
Kentucky,1,12,139,67,1,2,4,4,
Mississippi,-,6,90,77,-,0,-,-,
Tennessee,3,28,300,244,-,0,-,-,
West South Central,7,174,991,648,-,5,35,18,
Arkansas,-,13,138,75,-,0,-,-,
Louisiana,-,16,172,153,-,3,13,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,7,156,681,420,-,5,22,18,
Mountain,13,94,1,644,887,-,2,20,9,
Arizona,4,48,674,383,-,1,5,4,
Colorado,7,28,390,168,-,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,56,42,-,1,1,-,
Nevada,-,10,161,94,-,1,2,2,
New Mexico,2,16,241,97,-,0,-,-,
Utah,-,12,122,79,-,2,9,3,
Wyoming,-,3,-,24,-,0,-,-,
Pacific,1,13,145,83,-,2,5,1,
Alaska,1,12,123,72,-,2,5,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,4,22,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,61,514,7,871,4,851,3,14,189,116,
