Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,95,539,9,421,7,045,6,15,227,144,
New England,-,25,506,270,-,1,2,-,
Connecticut,-,8,114,69,-,0,-,-,
Maine,-,7,99,55,-,0,-,-,
Massachusetts,-,10,182,89,-,1,1,-,
New Hampshire,-,5,46,26,-,1,1,-,
Rhode Island,-,5,34,19,-,1,-,-,
Vermont,-,2,31,12,-,0,-,-,
Middle Atlantic,31,77,1,309,843,2,5,48,32,
New Jersey,13,12,142,159,-,3,24,26,
New York (excluding New York City),9,45,499,242,1,1,9,3,
New York City,6,22,286,216,-,0,-,2,
Pennsylvania,3,22,382,226,1,3,15,1,
East North Central,2,87,1,438,1,142,-,4,51,24,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,395,312,-,0,-,-,
Michigan,-,21,348,208,-,2,6,7,
Ohio,-,41,647,452,-,4,45,17,
Wisconsin,2,19,48,170,-,0,-,-,
West North Central,2,41,517,537,-,4,25,40,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,185,-,0,-,-,
Missouri,-,22,305,206,-,4,24,27,
Nebraska,2,10,93,63,-,1,1,-,
North Dakota,-,6,53,38,-,0,-,-,
South Dakota,-,7,66,45,-,0,-,13,
South Atlantic,13,83,1,439,1,250,1,4,20,11,
Delaware,-,5,59,41,-,0,-,-,
District of Columbia,-,3,25,14,-,0,-,-,
Florida,2,26,450,475,-,2,12,7,
Georgia,2,24,197,334,-,0,-,-,
Maryland,6,22,205,146,1,1,2,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,2,25,292,85,-,3,3,3,
Virginia,1,2,15,9,-,0,-,1,
West Virginia,-,18,196,146,-,2,3,-,
East South Central,7,45,877,756,-,2,6,6,
Alabama,3,19,250,215,-,1,1,2,
Kentucky,-,19,174,87,-,2,5,4,
Mississippi,3,6,108,110,-,0,-,-,
Tennessee,1,28,345,344,-,0,-,-,
West South Central,18,176,1,186,900,1,5,41,21,
Arkansas,5,13,164,114,-,0,-,-,
Louisiana,5,16,203,206,1,3,15,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,8,158,819,580,-,5,26,20,
Mountain,19,97,1,953,1,202,-,2,25,9,
Arizona,5,48,800,473,-,1,7,4,
Colorado,12,28,468,241,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,67,78,-,2,1,1,
Nevada,1,10,188,128,-,1,2,2,
New Mexico,-,16,264,137,-,0,-,-,
Utah,1,12,141,117,-,2,11,2,
Wyoming,-,4,25,28,-,0,-,-,
Pacific,3,15,196,145,2,3,9,1,
Alaska,3,13,155,122,2,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,41,23,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,95,539,9,421,7,046,6,15,227,144,
