Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,119,427,3,760,2,403,3,13,82,57,
New England,-,17,74,106,-,1,-,-,
Connecticut,-,6,14,31,-,0,-,-,
Maine,-,7,27,25,-,0,-,-,
Massachusetts,-,9,-,28,-,0,-,-,
New Hampshire,-,4,20,10,-,1,-,-,
Rhode Island,-,4,6,8,-,1,-,-,
Vermont,-,3,7,4,-,0,-,-,
Middle Atlantic,32,84,591,360,1,6,25,15,
New Jersey,3,12,62,72,1,3,6,14,
New York (excluding New York City),14,46,218,90,-,3,12,1,
New York City,7,22,143,104,-,6,-,-,
Pennsylvania,8,18,168,94,-,2,7,-,
East North Central,5,92,709,346,-,4,26,8,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,128,111,-,0,-,-,
Michigan,-,18,126,83,-,2,3,3,
Ohio,-,41,341,148,-,4,23,5,
Wisconsin,5,19,114,4,-,0,-,-,
West North Central,6,32,273,123,1,2,8,16,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,4,22,184,81,1,2,8,8,
Nebraska,-,7,36,16,-,0,-,-,
North Dakota,2,4,22,9,-,0,-,-,
South Dakota,-,7,31,17,-,1,-,8,
South Atlantic,18,73,402,425,1,5,7,3,
Delaware,3,5,31,12,-,0,-,-,
District of Columbia,-,2,8,8,-,0,-,-,
Florida,15,26,209,140,1,3,7,3,
Georgia,-,18,26,135,-,0,-,-,
Maryland,-,11,1,64,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,101,-,-,3,-,-,
Virginia,-,1,2,4,-,0,-,-,
West Virginia,-,11,24,62,-,0,-,-,
East South Central,15,43,348,257,-,2,2,2,
Alabama,3,19,106,72,-,1,1,-,
Kentucky,-,10,57,28,-,2,1,2,
Mississippi,4,8,58,41,-,0,-,-,
Tennessee,8,26,127,116,-,0,-,-,
West South Central,3,108,395,271,-,2,4,9,
Arkansas,1,13,73,38,-,1,1,-,
Louisiana,-,29,40,79,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,2,98,282,154,-,2,3,9,
Mountain,38,94,906,472,-,2,6,4,
Arizona,16,45,430,192,-,1,2,2,
Colorado,9,28,193,89,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,4,5,26,17,-,1,-,-,
Nevada,1,10,70,65,-,1,-,1,
New Mexico,4,16,118,51,-,0,-,-,
Utah,4,12,69,40,-,1,4,1,
Wyoming,-,3,-,18,-,0,-,-,
Pacific,2,12,62,43,-,2,4,-,
Alaska,2,11,54,35,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,8,8,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,119,427,3,760,2,404,3,13,82,57,
