Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,54,533,8,320,5,618,1,16,204,131,
New England,2,25,453,223,-,1,1,-,
Connecticut,-,7,84,60,-,0,-,-,
Maine,2,7,93,49,-,0,-,-,
Massachusetts,-,10,172,67,-,0,-,-,
New Hampshire,-,5,42,21,-,1,1,-,
Rhode Island,-,5,34,16,-,1,-,-,
Vermont,-,3,28,10,-,0,-,-,
Middle Atlantic,18,86,1,174,726,-,5,46,32,
New Jersey,2,12,120,140,-,3,23,21,
New York (excluding New York City),4,45,456,215,-,1,10,2,
New York City,4,22,259,182,-,1,-,8,
Pennsylvania,8,22,339,189,-,3,13,1,
East North Central,-,86,1,292,914,-,4,46,19,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,343,250,-,0,-,-,
Michigan,-,20,325,173,-,2,5,6,
Ohio,-,41,599,357,-,4,41,13,
Wisconsin,-,19,25,134,-,0,-,-,
West North Central,3,34,464,285,-,4,19,37,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,2,22,279,185,-,4,19,25,
Nebraska,-,10,80,48,-,0,-,-,
North Dakota,-,7,45,18,-,0,-,-,
South Dakota,1,7,60,34,-,1,-,12,
South Atlantic,7,81,1,229,1,034,-,4,18,11,
Delaware,-,5,53,34,-,0,-,-,
District of Columbia,-,3,25,11,-,0,-,-,
Florida,4,26,439,398,-,2,12,6,
Georgia,-,24,191,292,-,0,-,-,
Maryland,1,16,154,121,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,2,25,269,56,-,3,3,3,
Virginia,-,2,12,8,-,0,-,1,
West Virginia,-,13,86,114,-,2,3,-,
East South Central,2,45,775,601,-,2,6,5,
Alabama,-,19,227,168,-,1,1,1,
Kentucky,-,12,142,75,-,2,5,4,
Mississippi,1,6,94,93,-,0,-,-,
Tennessee,1,28,312,265,-,0,-,-,
West South Central,4,174,1,026,750,1,5,36,19,
Arkansas,2,13,147,84,-,0,-,-,
Louisiana,-,16,172,180,-,3,13,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,2,156,707,486,1,5,23,18,
Mountain,18,94,1,753,984,-,2,26,8,
Arizona,9,48,730,407,-,1,7,4,
Colorado,6,28,406,190,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,66,57,-,2,1,-,
Nevada,-,10,171,108,-,1,4,2,
New Mexico,2,16,249,113,-,0,-,-,
Utah,1,12,131,90,-,2,10,2,
Wyoming,-,3,-,19,-,0,-,-,
Pacific,-,13,154,101,-,3,6,-,
Alaska,-,12,130,84,-,3,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,4,24,17,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,54,533,8,320,5,619,1,16,204,131,
