Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,125,559,9,933,7,591,5,15,248,155,
New England,1,24,536,291,-,1,2,-,
Connecticut,-,8,118,74,-,0,-,-,
Maine,-,7,99,57,-,0,-,-,
Massachusetts,1,11,203,96,-,1,1,-,
New Hampshire,-,5,51,29,-,1,1,-,
Rhode Island,-,5,34,21,-,1,-,-,
Vermont,-,2,31,14,-,0,-,-,
Middle Atlantic,37,77,1,390,904,2,8,55,34,
New Jersey,6,13,157,164,-,3,25,27,
New York (excluding New York City),16,45,528,266,1,5,16,3,
New York City,9,22,309,228,-,0,-,2,
Pennsylvania,6,22,396,246,1,2,14,2,
East North Central,7,87,1,573,1,225,-,4,53,28,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,25,414,325,-,0,-,-,
Michigan,3,21,416,227,-,2,6,7,
Ohio,-,41,679,488,-,4,47,21,
Wisconsin,4,19,64,185,-,0,-,-,
West North Central,8,42,544,563,1,4,30,40,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,198,-,0,-,-,
Missouri,2,22,318,212,1,4,29,27,
Nebraska,5,10,100,65,-,1,1,-,
North Dakota,1,6,57,40,-,0,-,-,
South Dakota,-,7,69,48,-,0,-,13,
South Atlantic,11,83,1,463,1,400,-,4,20,12,
Delaware,1,5,65,44,-,0,-,-,
District of Columbia,-,3,25,14,-,0,-,-,
Florida,1,26,453,500,-,2,12,7,
Georgia,-,24,198,423,-,0,-,-,
Maryland,9,22,218,162,-,1,2,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,292,96,-,3,3,4,
Virginia,-,2,16,9,-,0,-,1,
West Virginia,-,18,196,152,-,2,3,-,
East South Central,14,45,976,813,-,2,11,8,
Alabama,-,19,260,227,-,1,1,2,
Kentucky,2,28,232,102,-,2,10,6,
Mississippi,-,6,108,120,-,0,-,-,
Tennessee,12,28,376,364,-,0,-,-,
West South Central,9,176,1,205,967,-,5,42,22,
Arkansas,7,13,174,119,-,0,-,-,
Louisiana,2,16,208,214,-,3,15,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,158,823,634,-,5,27,21,
Mountain,32,97,2,038,1,276,-,2,26,10,
Arizona,5,48,825,490,-,1,8,5,
Colorado,15,28,490,270,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,67,82,-,2,1,1,
Nevada,1,10,195,136,-,1,2,2,
New Mexico,4,16,284,146,-,0,-,-,
Utah,7,12,150,123,-,2,11,2,
Wyoming,-,4,27,29,-,0,-,-,
Pacific,6,15,208,152,2,3,9,1,
Alaska,5,13,167,129,2,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,1,5,41,23,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,125,559,9,933,7,592,5,15,248,155,
