Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,98,555,9,681,7,358,11,15,240,151,
New England,-,25,514,278,-,1,2,-,
Connecticut,-,8,114,70,-,0,-,-,
Maine,-,7,99,56,-,0,-,-,
Massachusetts,-,10,189,92,-,1,1,-,
New Hampshire,-,5,47,28,-,1,1,-,
Rhode Island,-,5,34,20,-,1,-,-,
Vermont,-,2,31,12,-,0,-,-,
Middle Atlantic,36,77,1,346,879,8,5,53,34,
New Jersey,9,13,151,162,1,3,25,27,
New York (excluding New York City),13,45,512,258,5,1,14,3,
New York City,10,22,297,222,-,0,-,2,
Pennsylvania,4,22,386,237,2,3,14,2,
East North Central,5,87,1,501,1,183,-,4,53,26,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,25,407,318,-,0,-,-,
Michigan,2,21,374,217,-,2,6,7,
Ohio,-,41,665,471,-,4,47,19,
Wisconsin,2,19,55,177,-,0,-,-,
West North Central,5,41,527,550,1,4,27,40,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,191,-,0,-,-,
Missouri,3,22,310,209,1,4,26,27,
Nebraska,2,10,95,63,-,1,1,-,
North Dakota,-,6,53,40,-,0,-,-,
South Dakota,-,7,69,47,-,0,-,13,
South Atlantic,11,83,1,450,1,356,-,4,20,11,
Delaware,3,5,63,42,-,0,-,-,
District of Columbia,-,3,25,14,-,0,-,-,
Florida,2,26,452,491,-,2,12,7,
Georgia,-,24,197,413,-,0,-,-,
Maryland,5,22,209,151,-,1,2,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,292,89,-,3,3,3,
Virginia,1,2,16,9,-,0,-,1,
West Virginia,-,18,196,147,-,2,3,-,
East South Central,9,45,950,789,1,2,11,8,
Alabama,2,19,255,221,-,1,1,2,
Kentucky,3,28,230,93,1,2,10,6,
Mississippi,-,6,108,116,-,0,-,-,
Tennessee,4,28,357,359,-,0,-,-,
West South Central,4,176,1,194,940,1,5,42,22,
Arkansas,3,13,167,118,-,0,-,-,
Louisiana,1,16,204,212,-,3,15,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,158,823,610,1,5,27,21,
Mountain,25,97,1,998,1,236,-,2,25,9,
Arizona,13,48,819,480,-,1,7,4,
Colorado,7,28,475,257,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,67,79,-,2,1,1,
Nevada,-,10,191,130,-,1,2,2,
New Mexico,4,16,279,142,-,0,-,-,
Utah,1,12,142,119,-,2,11,2,
Wyoming,-,4,25,29,-,0,-,-,
Pacific,3,15,201,147,-,3,7,1,
Alaska,3,13,160,124,-,3,7,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,41,23,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,98,555,9,681,7,359,11,15,240,151,
