Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,103,376,539,326,1,14,16,6,
New England,2,17,4,17,-,1,-,-,
Connecticut,-,6,-,5,-,0,-,-,
Maine,2,7,3,3,-,0,-,-,
Massachusetts,-,6,-,5,-,1,-,-,
New Hampshire,-,2,-,3,-,1,-,-,
Rhode Island,-,2,-,-,-,0,-,-,
Vermont,-,2,1,1,-,0,-,-,
Middle Atlantic,38,52,105,44,1,6,6,2,
New Jersey,8,9,17,11,-,3,-,2,
New York (excluding New York City),20,21,32,4,1,2,3,-,
New York City,10,17,23,13,-,6,-,-,
Pennsylvania,-,18,33,16,-,2,3,-,
East North Central,7,64,126,44,-,4,5,1,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,14,6,13,-,0,-,-,
Michigan,-,13,19,10,-,2,1,1,
Ohio,-,41,82,18,-,3,4,-,
Wisconsin,7,14,19,3,-,0,-,-,
West North Central,10,19,33,11,-,4,2,1,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,8,15,27,7,-,2,2,1,
Nebraska,2,7,4,2,-,0,-,-,
North Dakota,-,2,2,-,-,0,-,-,
South Dakota,-,5,-,2,-,3,-,-,
South Atlantic,19,58,84,59,-,5,-,2,
Delaware,1,5,2,1,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,18,26,38,12,-,3,-,2,
Georgia,-,17,17,28,-,0,-,-,
Maryland,-,11,-,9,-,1,-,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,21,27,-,-,3,-,-,
Virginia,-,1,-,-,-,0,-,-,
West Virginia,-,13,-,9,-,0,-,-,
East South Central,6,44,61,38,-,2,-,-,
Alabama,2,17,21,15,-,1,-,-,
Kentucky,1,8,5,2,-,2,-,-,
Mississippi,2,8,8,8,-,0,-,-,
Tennessee,1,26,27,13,-,0,-,-,
West South Central,17,56,46,28,-,3,1,-,
Arkansas,4,10,10,1,-,0,-,-,
Louisiana,10,29,12,20,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,3,41,24,7,-,3,1,-,
Mountain,3,91,72,78,-,2,1,-,
Arizona,-,42,40,37,-,1,-,-,
Colorado,-,28,-,17,-,0,-,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,5,4,1,-,1,-,-,
Nevada,-,10,3,9,-,1,-,-,
New Mexico,1,13,16,10,-,0,-,-,
Utah,1,12,9,2,-,1,1,-,
Wyoming,-,3,-,2,-,0,-,-,
Pacific,1,12,8,7,-,2,1,-,
Alaska,1,11,8,5,-,2,1,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,-,2,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,-,-,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,103,376,539,326,1,14,16,6,
