Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,106,437,4,276,2,785,7,13,103,68,
New England,-,17,91,119,-,1,1,-,
Connecticut,-,6,20,32,-,0,-,-,
Maine,-,7,33,28,-,0,-,-,
Massachusetts,-,9,-,35,-,0,-,-,
New Hampshire,-,4,22,11,-,1,1,-,
Rhode Island,-,4,8,9,-,1,-,-,
Vermont,-,3,8,4,-,0,-,-,
Middle Atlantic,41,86,703,413,4,6,29,19,
New Jersey,2,12,71,79,2,3,8,16,
New York (excluding New York City),17,46,260,110,1,3,14,3,
New York City,8,22,165,116,-,6,-,-,
Pennsylvania,14,19,207,108,1,2,7,-,
East North Central,8,92,810,408,-,4,31,9,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,-,28,139,129,-,0,-,-,
Michigan,2,18,152,98,-,2,3,3,
Ohio,-,41,385,175,-,4,28,6,
Wisconsin,6,19,134,6,-,0,-,-,
West North Central,-,32,286,149,-,2,8,17,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,22,189,97,-,2,8,9,
Nebraska,-,7,39,22,-,0,-,-,
North Dakota,-,4,22,11,-,0,-,-,
South Dakota,-,7,36,19,-,1,-,8,
South Atlantic,13,73,463,504,-,5,7,4,
Delaware,1,5,35,18,-,0,-,-,
District of Columbia,-,2,9,8,-,0,-,-,
Florida,12,26,234,171,-,3,7,3,
Georgia,-,18,34,159,-,0,-,-,
Maryland,-,11,1,70,-,1,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,123,1,-,3,-,-,
Virginia,-,1,3,5,-,0,-,-,
West Virginia,-,11,24,72,-,0,-,-,
East South Central,3,43,364,304,-,2,2,2,
Alabama,-,19,110,87,-,1,1,-,
Kentucky,-,12,64,32,-,2,1,2,
Mississippi,3,8,63,48,-,0,-,-,
Tennessee,-,26,127,137,-,0,-,-,
West South Central,-,109,461,321,-,2,8,13,
Arkansas,-,10,78,42,-,1,1,-,
Louisiana,-,29,58,83,-,1,-,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,99,325,196,-,2,7,13,
Mountain,41,94,1,033,517,3,2,13,4,
Arizona,19,48,480,211,-,1,2,2,
Colorado,19,28,223,101,1,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,30,17,-,1,-,-,
Nevada,1,10,96,68,-,1,1,1,
New Mexico,-,16,127,55,-,0,-,-,
Utah,2,12,77,45,2,2,8,1,
Wyoming,-,3,-,20,-,0,-,-,
Pacific,-,12,65,50,-,2,4,-,
Alaska,-,11,55,41,-,2,4,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,10,9,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,106,437,4,276,2,786,7,13,103,68,
