Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,130,556,10,913,7,970,7,14,271,173,
New England,1,26,576,331,-,1,2,-,
Connecticut,-,10,128,82,-,0,-,-,
Maine,-,7,110,61,-,0,-,-,
Massachusetts,-,12,216,115,-,1,1,-,
New Hampshire,-,5,55,32,-,1,1,-,
Rhode Island,-,5,34,23,-,1,-,-,
Vermont,1,2,33,18,-,0,-,-,
Middle Atlantic,34,77,1,517,1,007,5,8,63,39,
New Jersey,2,13,167,186,2,3,28,31,
New York (excluding New York City),17,45,571,294,3,5,21,4,
New York City,14,22,346,253,-,0,-,2,
Pennsylvania,1,22,433,274,-,2,14,2,
East North Central,6,87,1,767,1,373,-,4,59,36,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,25,470,377,-,1,2,-,
Michigan,-,21,446,249,-,1,6,10,
Ohio,-,41,752,529,-,4,51,26,
Wisconsin,5,19,99,218,-,0,-,-,
West North Central,9,42,600,625,-,4,32,46,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,222,-,0,-,-,
Missouri,3,22,340,231,-,4,31,33,
Nebraska,6,10,116,67,-,1,1,-,
North Dakota,-,6,60,47,-,0,-,-,
South Dakota,-,7,84,58,-,0,-,13,
South Atlantic,14,89,1,589,1,065,-,3,20,9,
Delaware,2,6,72,50,-,0,-,-,
District of Columbia,-,3,25,16,-,0,-,-,
Florida,2,20,461,71,-,2,12,3,
Georgia,3,30,248,452,-,0,-,-,
Maryland,6,22,257,179,-,1,2,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,292,123,-,3,3,5,
Virginia,-,2,20,9,-,0,-,1,
West Virginia,1,18,214,165,-,2,3,-,
East South Central,18,45,1,068,876,-,2,13,8,
Alabama,5,19,287,250,-,1,1,2,
Kentucky,-,28,244,111,-,2,12,6,
Mississippi,2,7,121,124,-,0,-,-,
Tennessee,11,28,416,391,-,0,-,-,
West South Central,9,175,1,238,1,061,2,5,47,22,
Arkansas,6,13,193,131,-,0,-,-,
Louisiana,3,16,222,247,2,3,19,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,157,823,683,-,5,28,21,
Mountain,37,99,2,335,1,457,-,3,26,12,
Arizona,13,48,861,547,-,1,8,6,
Colorado,15,29,568,316,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,1,6,73,94,-,2,1,1,
Nevada,-,18,324,149,-,2,4,2,
New Mexico,6,16,315,170,-,0,-,-,
Utah,2,9,167,146,-,2,11,3,
Wyoming,-,4,27,35,-,0,-,-,
Pacific,2,15,223,175,-,3,9,1,
Alaska,2,13,178,146,-,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,5,45,29,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,1,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,1,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,130,556,10,914,7,971,7,14,271,173,
