Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,86,548,9,105,6,611,4,15,215,144,
New England,2,25,502,254,-,1,2,-,
Connecticut,-,8,111,64,-,0,-,-,
Maine,1,7,98,52,-,0,-,-,
Massachusetts,1,10,182,83,-,1,1,-,
New Hampshire,-,5,46,24,-,1,1,-,
Rhode Island,-,5,34,18,-,1,-,-,
Vermont,-,3,31,13,-,0,-,-,
Middle Atlantic,10,86,1,233,795,-,5,49,36,
New Jersey,2,12,127,151,-,3,24,25,
New York (excluding New York City),8,45,479,233,-,2,12,2,
New York City,-,22,269,201,-,0,-,8,
Pennsylvania,-,22,358,210,-,3,13,1,
East North Central,4,87,1,390,1,061,-,4,48,23,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,3,25,384,295,-,0,-,-,
Michigan,-,21,345,193,-,2,6,7,
Ohio,-,41,627,416,-,4,42,16,
Wisconsin,1,19,34,157,-,0,-,-,
West North Central,12,41,507,510,-,4,22,40,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,176,-,0,-,-,
Missouri,7,22,300,201,-,4,22,27,
Nebraska,4,10,91,61,-,0,-,-,
North Dakota,1,7,51,32,-,0,-,-,
South Dakota,-,7,65,40,-,0,-,13,
South Atlantic,9,83,1,407,1,166,1,4,19,12,
Delaware,-,5,58,39,-,0,-,-,
District of Columbia,-,3,25,13,-,0,-,-,
Florida,3,26,447,449,-,2,12,7,
Georgia,-,24,195,315,-,0,-,-,
Maryland,6,21,191,135,1,0,1,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,283,75,-,3,3,3,
Virginia,-,2,12,8,-,0,-,1,
West Virginia,-,18,196,132,-,2,3,-,
East South Central,11,45,854,713,-,2,6,5,
Alabama,4,19,242,202,-,1,1,1,
Kentucky,2,19,174,85,-,2,5,4,
Mississippi,2,6,104,108,-,0,-,-,
Tennessee,3,28,334,318,-,0,-,-,
West South Central,15,176,1,120,851,1,5,36,20,
Arkansas,4,13,156,102,-,0,-,-,
Louisiana,2,16,190,197,-,3,13,1,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,9,158,774,552,1,5,23,19,
Mountain,19,97,1,905,1,125,-,2,25,8,
Arizona,8,48,782,447,-,1,7,4,
Colorado,6,28,443,216,-,1,4,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,67,73,-,2,1,-,
Nevada,1,10,184,123,-,1,2,2,
New Mexico,1,16,263,132,-,0,-,-,
Utah,3,12,141,110,-,2,11,2,
Wyoming,-,4,25,24,-,0,-,-,
Pacific,4,15,187,136,2,3,8,-,
Alaska,2,13,151,114,2,3,8,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,2,4,36,22,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,86,548,9,105,6,612,4,15,215,144,
