Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,252,614,12,163,9,792,11,16,307,221,
New England,5,26,653,380,-,1,3,-,
Connecticut,-,10,148,92,-,0,-,-,
Maine,4,7,123,73,-,0,-,-,
Massachusetts,-,12,236,133,-,1,2,-,
New Hampshire,-,6,60,36,-,1,1,-,
Rhode Island,-,5,51,26,-,1,-,-,
Vermont,1,2,35,20,-,0,-,-,
Middle Atlantic,52,86,1,677,1,137,8,5,74,45,
New Jersey,9,13,188,211,3,3,33,36,
New York (excluding New York City),28,45,640,331,4,3,24,4,
New York City,4,22,369,288,-,0,-,2,
Pennsylvania,11,22,480,307,1,2,17,3,
East North Central,8,93,1,987,1,732,-,4,66,54,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,1,24,521,450,-,1,2,-,
Michigan,-,29,494,417,-,1,9,21,
Ohio,-,41,833,617,-,4,55,33,
Wisconsin,7,19,139,248,-,0,-,-,
West North Central,14,42,663,724,1,3,34,50,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,17,-,261,-,0,-,-,
Missouri,6,22,379,257,1,3,33,37,
Nebraska,7,10,127,83,-,1,1,-,
North Dakota,1,6,68,52,-,0,-,-,
South Dakota,-,7,89,71,-,0,-,13,
South Atlantic,56,86,1,761,1,739,2,4,27,20,
Delaware,2,6,4,58,-,0,-,-,
District of Columbia,-,3,25,17,-,0,-,-,
Florida,36,28,555,604,2,2,15,11,
Georgia,-,30,268,514,-,0,-,-,
Maryland,11,22,289,197,-,2,4,-,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,2,25,356,155,-,3,4,8,
Virginia,2,2,22,10,-,0,-,1,
West Virginia,3,19,242,184,-,2,4,-,
East South Central,19,45,1,177,984,-,2,17,9,
Alabama,4,19,318,275,-,2,4,2,
Kentucky,4,28,268,123,-,2,13,7,
Mississippi,-,11,142,140,-,0,-,-,
Tennessee,11,28,449,446,-,0,-,-,
West South Central,16,175,1,321,1,198,-,5,50,27,
Arkansas,10,13,206,149,-,0,-,-,
Louisiana,6,16,247,260,-,3,19,3,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,-,157,868,789,-,5,31,24,
Mountain,81,100,2,682,1,693,-,3,27,15,
Arizona,37,48,980,639,-,1,8,6,
Colorado,26,29,641,386,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,6,85,101,-,2,1,3,
Nevada,2,20,415,171,-,2,4,2,
New Mexico,15,16,352,191,-,0,-,-,
Utah,1,9,182,168,-,2,12,4,
Wyoming,-,4,27,37,-,0,-,-,
Pacific,1,15,242,205,-,3,9,1,
Alaska,-,13,186,163,-,3,9,1,
California,N,NC,N,N,N,NC,N,N,
Hawaii,1,5,56,42,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,1,1,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,1,1,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,252,614,12,164,9,793,11,16,307,221,
