Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,136,458,4,997,3,203,4,14,120,68,
New England,-,17,119,133,-,1,1,-,
Connecticut,-,6,29,36,-,0,-,-,
Maine,-,7,36,31,-,0,-,-,
Massachusetts,-,9,-,41,-,0,-,-,
New Hampshire,-,4,25,12,-,1,1,-,
Rhode Island,-,4,19,9,-,1,-,-,
Vermont,-,3,10,4,-,0,-,-,
Middle Atlantic,47,86,798,457,3,6,30,16,
New Jersey,3,12,78,83,3,3,14,16,
New York (excluding New York City),22,46,303,130,-,2,10,-,
New York City,12,22,184,125,-,6,-,-,
Pennsylvania,10,19,233,119,-,2,6,-,
East North Central,6,92,947,471,-,4,36,9,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,3,28,188,152,-,0,-,-,
Michigan,1,18,170,109,-,2,4,3,
Ohio,-,41,436,204,-,4,32,6,
Wisconsin,2,19,153,6,-,0,-,-,
West North Central,9,32,319,168,-,2,11,18,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,4,20,209,108,-,2,11,10,
Nebraska,5,7,51,26,-,0,-,-,
North Dakota,-,4,23,13,-,0,-,-,
South Dakota,-,7,36,21,-,1,-,8,
South Atlantic,13,73,563,565,-,5,9,5,
Delaware,1,5,38,20,-,0,-,-,
District of Columbia,-,2,9,8,-,0,-,-,
Florida,12,26,257,196,-,3,8,3,
Georgia,-,18,34,174,-,0,-,-,
Maryland,-,11,15,82,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,1,-,3,1,1,
Virginia,-,2,5,6,-,0,-,-,
West Virginia,-,11,24,78,-,0,-,-,
East South Central,17,45,453,362,-,2,2,2,
Alabama,3,19,127,95,-,1,1,-,
Kentucky,3,12,82,39,-,2,1,2,
Mississippi,3,8,68,60,-,0,-,-,
Tennessee,8,28,176,168,-,0,-,-,
West South Central,4,127,574,386,-,5,12,14,
Arkansas,1,10,84,48,-,1,1,-,
Louisiana,-,29,69,102,-,2,2,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,3,117,421,236,-,5,9,14,
Mountain,38,94,1,142,603,-,3,13,4,
Arizona,26,48,532,260,-,1,2,2,
Colorado,9,28,244,118,-,1,2,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,34,24,-,1,-,-,
Nevada,-,10,102,72,-,1,1,1,
New Mexico,1,16,144,61,-,0,-,-,
Utah,2,12,86,48,-,2,8,1,
Wyoming,-,3,-,20,-,0,-,-,
Pacific,2,12,82,58,1,2,6,-,
Alaska,2,11,71,47,1,2,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,11,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,136,458,4,997,3,204,4,14,120,68,
