Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,20,51,960,1,071,-,3,6,12,-,14,7,9,
New England,1,5,55,57,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,2,-,0,-,-,-,0,-,-,
Massachusetts,1,4,44,44,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,5,5,-,0,-,-,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,-,0,-,-,
Middle Atlantic,5,19,220,298,-,0,-,-,-,1,-,-,
New Jersey,-,5,26,60,-,0,-,-,-,1,-,-,
New York (excluding New York City),4,4,31,34,-,0,-,-,-,0,-,-,
New York City,1,13,129,140,-,0,-,-,-,0,-,-,
Pennsylvania,-,4,34,64,-,0,-,-,-,0,-,-,
East North Central,-,11,109,97,-,1,2,1,-,13,-,6,
Illinois,-,4,29,29,-,0,-,-,-,0,-,-,
Indiana,-,2,9,9,-,0,-,-,-,0,-,-,
Michigan,-,2,15,2,-,0,-,-,-,0,-,-,
Ohio,-,7,56,53,-,1,2,-,-,0,-,-,
Wisconsin,-,0,-,4,-,0,-,1,-,13,-,6,
West North Central,-,4,48,112,-,1,2,-,-,0,-,-,
Iowa,-,1,6,17,-,0,-,-,-,0,-,-,
Kansas,-,3,9,2,-,0,-,-,-,0,-,-,
Minnesota,-,1,-,57,-,1,2,-,-,0,-,-,
Missouri,-,2,19,11,-,0,-,-,-,0,-,-,
Nebraska,-,1,5,6,-,0,-,-,-,0,-,-,
North Dakota,-,2,8,12,-,0,-,-,-,0,-,-,
South Dakota,-,1,1,7,-,0,-,-,-,0,-,-,
South Atlantic,11,16,264,286,-,3,2,9,-,5,1,2,
Delaware,-,1,3,5,-,0,-,-,-,0,-,-,
District of Columbia,-,2,4,6,-,0,-,-,-,0,-,-,
Florida,-,4,38,30,-,0,-,-,-,0,-,-,
Georgia,-,6,45,31,-,0,-,-,-,0,-,-,
Maryland,9,12,87,144,-,0,-,-,-,0,-,-,
North Carolina,-,4,19,23,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,2,8,66,47,-,3,2,9,-,5,-,2,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,1,4,23,25,-,0,-,-,-,0,-,-,
Alabama,-,2,6,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,-,0,-,-,
Tennessee,1,2,8,11,-,0,-,-,-,0,-,-,
West South Central,2,16,94,75,-,0,-,-,-,0,-,-,
Arkansas,-,1,2,1,-,0,-,-,-,0,-,-,
Louisiana,-,1,3,2,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,2,16,89,71,-,0,-,-,-,0,-,-,
Mountain,-,4,55,48,-,0,-,1,-,3,5,-,
Arizona,-,3,20,21,-,0,-,-,-,3,5,-,
Colorado,-,2,17,13,-,0,-,-,-,0,-,-,
Idaho,-,1,4,2,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,5,2,-,0,-,-,-,0,-,-,
New Mexico,-,1,2,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,11,92,73,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,5,49,57,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,11,8,-,0,-,-,-,0,-,-,
Washington,-,4,28,7,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,6,2,-,0,-,-,-,0,-,-,
Total,20,51,966,1,074,-,3,6,12,-,14,7,9,
