Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,15,59,645,749,-,4,5,1,-,14,1,1,
New England,4,5,39,36,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,4,5,34,26,-,0,-,-,-,0,-,-,
New Hampshire,-,1,1,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,3,-,0,-,-,-,0,-,-,
Vermont,-,1,-,3,-,0,-,-,-,0,-,-,
Middle Atlantic,3,20,152,185,-,0,-,-,-,1,-,-,
New Jersey,-,5,16,37,-,0,-,-,-,1,-,-,
New York (excluding New York City),1,3,21,30,-,0,-,-,-,0,-,-,
New York City,2,13,89,85,-,0,-,-,-,0,-,-,
Pennsylvania,-,4,26,33,-,0,-,-,-,0,-,-,
East North Central,-,7,65,71,-,1,1,-,-,13,-,-,
Illinois,-,4,14,19,-,0,-,-,-,0,-,-,
Indiana,-,2,4,8,-,0,-,-,-,0,-,-,
Michigan,-,2,10,1,-,0,-,-,-,0,-,-,
Ohio,-,7,37,40,-,1,1,-,-,0,-,-,
Wisconsin,-,1,-,3,-,1,-,-,-,13,-,-,
West North Central,-,7,35,85,-,1,2,-,-,0,-,-,
Iowa,-,2,5,15,-,0,-,-,-,0,-,-,
Kansas,-,3,8,2,-,0,-,-,-,0,-,-,
Minnesota,-,4,-,44,-,1,2,-,-,0,-,-,
Missouri,-,2,11,6,-,0,-,-,-,0,-,-,
Nebraska,-,2,2,2,-,0,-,-,-,0,-,-,
North Dakota,-,2,8,10,-,0,-,-,-,0,-,-,
South Dakota,-,1,1,6,-,0,-,-,-,0,-,-,
South Atlantic,4,17,156,204,-,3,2,-,-,5,1,-,
Delaware,-,1,1,5,-,0,-,-,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,-,0,-,-,
Florida,-,4,29,24,-,0,-,-,-,0,-,-,
Georgia,-,3,13,27,-,0,-,-,-,0,-,-,
Maryland,3,12,45,99,-,0,-,-,-,0,-,-,
North Carolina,-,4,14,16,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,1,8,49,30,-,3,2,-,-,5,-,-,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,-,4,19,20,-,0,-,-,-,0,-,-,
Alabama,-,2,5,6,-,0,-,-,-,0,-,-,
Kentucky,-,2,7,5,-,0,-,-,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,7,8,-,0,-,-,-,0,-,-,
West South Central,3,16,63,57,-,0,-,-,-,0,-,-,
Arkansas,-,1,-,1,-,0,-,-,-,0,-,-,
Louisiana,-,1,3,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,3,16,60,54,-,0,-,-,-,0,-,-,
Mountain,-,4,44,38,-,1,-,-,-,0,-,-,
Arizona,-,3,18,14,-,0,-,-,-,0,-,-,
Colorado,-,2,16,13,-,0,-,-,-,0,-,-,
Idaho,-,1,3,2,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,2,1,-,0,-,-,-,0,-,-,
New Mexico,-,1,1,1,-,1,-,-,-,0,-,-,
Utah,-,1,2,5,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,1,7,72,53,-,0,-,-,-,0,-,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,5,37,42,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,0,-,-,
Oregon,1,3,11,5,-,0,-,-,-,0,-,-,
Washington,-,2,20,5,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,5,2,-,0,-,-,-,0,-,-,
Total,15,59,650,752,-,4,5,1,-,14,1,1,
