Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,10,58,749,924,-,4,5,2,3,14,4,1,
New England,-,4,44,46,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,-,4,37,36,-,0,-,-,-,0,-,-,
New Hampshire,-,1,2,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,4,3,-,0,-,-,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,-,0,-,-,
Middle Atlantic,5,20,176,236,-,0,-,-,-,1,-,-,
New Jersey,-,5,17,49,-,0,-,-,-,1,-,-,
New York (excluding New York City),4,3,26,32,-,0,-,-,-,0,-,-,
New York City,-,13,105,107,-,0,-,-,-,0,-,-,
Pennsylvania,1,4,28,48,-,0,-,-,-,0,-,-,
East North Central,-,7,76,88,-,1,1,1,-,13,-,-,
Illinois,-,4,15,27,-,0,-,-,-,0,-,-,
Indiana,-,2,8,9,-,0,-,-,-,0,-,-,
Michigan,-,2,10,2,-,0,-,-,-,0,-,-,
Ohio,-,7,43,47,-,1,1,-,-,0,-,-,
Wisconsin,-,1,-,3,-,1,-,1,-,13,-,-,
West North Central,-,7,40,102,-,1,2,-,-,0,-,-,
Iowa,-,1,5,15,-,0,-,-,-,0,-,-,
Kansas,-,3,9,2,-,0,-,-,-,0,-,-,
Minnesota,-,4,-,52,-,1,2,-,-,0,-,-,
Missouri,-,2,14,9,-,0,-,-,-,0,-,-,
Nebraska,-,1,3,5,-,0,-,-,-,0,-,-,
North Dakota,-,2,8,12,-,0,-,-,-,0,-,-,
South Dakota,-,1,1,7,-,0,-,-,-,0,-,-,
South Atlantic,3,16,193,252,-,3,2,-,-,5,1,-,
Delaware,-,1,2,5,-,0,-,-,-,0,-,-,
District of Columbia,-,2,4,4,-,0,-,-,-,0,-,-,
Florida,-,4,34,28,-,0,-,-,-,0,-,-,
Georgia,-,4,25,30,-,0,-,-,-,0,-,-,
Maryland,-,12,53,122,-,0,-,-,-,0,-,-,
North Carolina,-,4,14,21,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,3,8,59,42,-,3,2,-,-,5,-,-,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,-,4,21,21,-,0,-,-,-,0,-,-,
Alabama,-,2,6,6,-,0,-,-,-,0,-,-,
Kentucky,-,2,8,5,-,0,-,-,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,7,9,-,0,-,-,-,0,-,-,
West South Central,1,16,73,68,-,0,-,-,-,0,-,-,
Arkansas,-,1,1,1,-,0,-,-,-,0,-,-,
Louisiana,-,1,3,2,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,1,16,69,64,-,0,-,-,-,0,-,-,
Mountain,1,4,48,43,-,1,-,-,3,0,3,-,
Arizona,-,3,18,17,-,0,-,-,3,0,3,-,
Colorado,-,2,17,13,-,0,-,-,-,0,-,-,
Idaho,-,1,4,2,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,2,1,-,0,-,-,-,0,-,-,
New Mexico,1,1,2,1,-,1,-,-,-,0,-,-,
Utah,-,1,3,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,8,78,68,-,0,-,-,-,0,-,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,5,39,53,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,0,-,-,
Oregon,-,3,11,8,-,0,-,-,-,0,-,-,
Washington,-,2,24,6,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,6,2,-,0,-,-,-,0,-,-,
Total,10,58,755,927,-,4,5,2,3,14,4,1,
