Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,6,60,1,204,1,295,-,3,15,19,-,3,20,28,
New England,1,7,76,70,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,1,-,0,-,1,-,0,-,1,
Maine,-,1,1,3,-,0,-,-,-,0,-,-,
Massachusetts,-,7,61,56,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,2,-,0,-,-,-,0,-,-,
Rhode Island,-,2,7,5,-,0,-,-,-,0,-,-,
Vermont,1,1,3,3,-,0,-,-,-,0,-,-,
Middle Atlantic,1,22,295,359,-,0,-,-,-,0,-,1,
New Jersey,-,3,31,67,-,0,-,-,-,0,-,1,
New York (excluding New York City),1,5,38,36,-,0,-,-,-,0,-,-,
New York City,-,13,189,189,-,0,-,-,-,0,-,-,
Pennsylvania,-,3,37,67,-,0,-,-,-,0,-,-,
East North Central,-,11,133,133,-,1,4,6,-,1,1,16,
Illinois,-,4,35,38,-,0,-,-,-,0,-,-,
Indiana,-,3,14,13,-,0,-,-,-,0,-,-,
Michigan,-,2,16,5,-,0,-,-,-,1,1,-,
Ohio,-,7,68,61,-,1,4,-,-,0,-,-,
Wisconsin,-,1,-,16,-,0,-,6,-,0,-,16,
West North Central,-,4,54,119,-,3,9,-,-,3,12,-,
Iowa,-,1,6,17,-,0,-,-,-,0,-,-,
Kansas,-,3,11,2,-,0,-,-,-,0,-,-,
Minnesota,-,1,-,60,-,3,9,-,-,3,12,-,
Missouri,-,2,19,13,-,0,-,-,-,0,-,-,
Nebraska,-,2,7,6,-,0,-,-,-,0,-,-,
North Dakota,-,2,9,13,-,0,-,-,-,0,-,-,
South Dakota,-,1,2,8,-,0,-,-,-,0,-,-,
South Atlantic,-,20,326,352,-,1,2,11,-,1,1,10,
Delaware,-,3,7,6,-,0,-,-,-,0,-,-,
District of Columbia,-,1,4,10,-,0,-,-,-,0,-,-,
Florida,-,4,46,37,-,0,-,-,-,0,-,-,
Georgia,-,5,50,36,-,0,-,-,-,0,-,-,
Maryland,-,13,116,167,-,0,-,-,-,0,-,-,
North Carolina,-,4,21,29,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,79,67,-,1,2,11,-,0,-,10,
West Virginia,-,1,3,-,-,0,-,-,-,0,-,-,
East South Central,-,4,28,26,-,0,-,-,-,0,-,-,
Alabama,-,2,7,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,1,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,11,12,-,0,-,-,-,0,-,-,
West South Central,2,16,113,92,-,0,-,-,-,0,-,-,
Arkansas,-,1,2,2,-,0,-,-,-,0,-,-,
Louisiana,-,1,4,5,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,3,-,0,-,-,-,0,-,-,
Texas,2,16,107,82,-,0,-,-,-,0,-,-,
Mountain,-,5,69,57,-,0,-,1,-,3,5,-,
Arizona,-,3,22,24,-,0,-,-,-,3,5,-,
Colorado,-,2,19,17,-,0,-,-,-,0,-,-,
Idaho,-,1,4,3,-,0,-,-,-,0,-,-,
Montana,-,1,2,2,-,0,-,-,-,0,-,-,
Nevada,-,2,13,3,-,0,-,-,-,0,-,-,
New Mexico,-,2,3,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,2,10,110,87,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,2,4,60,69,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,13,9,-,0,-,-,-,0,-,-,
Washington,-,4,33,8,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,7,3,-,0,-,-,-,0,-,-,
Total,6,60,1,211,1,299,-,3,15,19,-,3,20,28,
