Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,10,57,1,129,1,236,-,3,15,19,-,3,17,28,
New England,1,7,73,66,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,3,-,0,-,-,-,0,-,-,
Massachusetts,1,7,60,52,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,7,5,-,0,-,-,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,-,0,-,-,
Middle Atlantic,-,22,274,349,-,0,-,-,-,0,-,1,
New Jersey,-,3,30,65,-,0,-,-,-,0,-,1,
New York (excluding New York City),-,5,36,35,-,0,-,-,-,0,-,-,
New York City,-,13,171,182,-,0,-,-,-,0,-,-,
Pennsylvania,-,3,37,67,-,0,-,-,-,0,-,-,
East North Central,-,11,125,115,-,1,4,6,-,1,1,16,
Illinois,-,4,34,35,-,0,-,-,-,0,-,-,
Indiana,-,3,14,12,-,0,-,-,-,0,-,-,
Michigan,-,2,15,4,-,0,-,-,-,1,1,-,
Ohio,-,7,62,60,-,1,4,-,-,0,-,-,
Wisconsin,-,0,-,4,-,0,-,6,-,0,-,16,
West North Central,-,4,52,118,-,3,9,-,-,3,9,-,
Iowa,-,1,6,17,-,0,-,-,-,0,-,-,
Kansas,-,3,10,2,-,0,-,-,-,0,-,-,
Minnesota,-,1,-,60,-,3,9,-,-,3,9,-,
Missouri,-,2,19,12,-,0,-,-,-,0,-,-,
Nebraska,-,2,7,6,-,0,-,-,-,0,-,-,
North Dakota,-,2,8,13,-,0,-,-,-,0,-,-,
South Dakota,-,1,2,8,-,0,-,-,-,0,-,-,
South Atlantic,7,20,317,335,-,1,2,11,-,3,1,10,
Delaware,-,3,6,6,-,0,-,-,-,0,-,-,
District of Columbia,-,1,4,10,-,0,-,-,-,0,-,-,
Florida,1,4,45,34,-,0,-,-,-,0,-,-,
Georgia,-,5,48,33,-,0,-,-,-,0,-,-,
Maryland,5,13,115,163,-,0,-,-,-,0,-,-,
North Carolina,-,4,19,27,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,1,8,77,62,-,1,2,11,-,3,-,10,
West Virginia,-,1,3,-,-,0,-,-,-,0,-,-,
East South Central,-,4,28,26,-,0,-,-,-,0,-,-,
Alabama,-,2,7,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,1,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,11,12,-,0,-,-,-,0,-,-,
West South Central,1,16,104,86,-,0,-,-,-,0,-,-,
Arkansas,-,1,2,2,-,0,-,-,-,0,-,-,
Louisiana,-,1,4,3,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,1,16,98,80,-,0,-,-,-,0,-,-,
Mountain,1,4,59,54,-,0,-,1,-,3,5,-,
Arizona,1,3,22,23,-,0,-,-,-,3,5,-,
Colorado,-,2,17,15,-,0,-,-,-,0,-,-,
Idaho,-,1,4,3,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,6,3,-,0,-,-,-,0,-,-,
New Mexico,-,2,3,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,11,97,87,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,5,52,69,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,12,9,-,0,-,-,-,0,-,-,
Washington,-,4,29,8,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,6,3,-,0,-,-,-,0,-,-,
Total,10,57,1,135,1,240,-,3,15,19,-,3,17,28,
