Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,56,216,172,-,2,-,1,1,5,1,-,
New England,-,5,22,12,-,1,-,1,-,1,-,-,
Connecticut,-,0,-,2,-,1,-,1,-,1,-,-,
Maine,-,1,1,-,-,0,-,-,-,0,-,-,
Massachusetts,-,5,18,8,-,0,-,-,-,0,-,-,
New Hampshire,-,0,-,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,-,-,0,-,-,-,0,-,-,
Vermont,-,1,-,1,-,0,-,-,-,0,-,-,
Middle Atlantic,1,20,53,37,-,0,-,-,-,0,-,-,
New Jersey,-,5,9,11,-,0,-,-,-,0,-,-,
New York (excluding New York City),1,4,10,5,-,0,-,-,-,0,-,-,
New York City,-,13,24,15,-,0,-,-,-,0,-,-,
Pennsylvania,-,5,10,6,-,0,-,-,-,0,-,-,
East North Central,-,7,22,23,-,1,-,-,-,1,-,-,
Illinois,-,4,3,2,-,0,-,-,-,0,-,-,
Indiana,-,2,1,2,-,0,-,-,-,0,-,-,
Michigan,-,1,3,1,-,0,-,-,-,0,-,-,
Ohio,-,6,15,16,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,1,-,-,
West North Central,-,4,11,15,-,0,-,-,-,0,-,-,
Iowa,-,3,1,6,-,0,-,-,-,0,-,-,
Kansas,-,3,5,-,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,-,0,-,-,
Missouri,-,2,2,1,-,0,-,-,-,0,-,-,
Nebraska,-,2,1,-,-,0,-,-,-,0,-,-,
North Dakota,-,2,2,5,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,3,-,0,-,-,-,0,-,-,
South Atlantic,-,17,48,45,-,1,-,-,-,5,-,-,
Delaware,-,1,-,2,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,-,4,11,2,-,0,-,-,-,0,-,-,
Georgia,-,4,2,4,-,0,-,-,-,0,-,-,
Maryland,-,11,3,22,-,0,-,-,-,0,-,-,
North Carolina,-,4,4,4,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,0,-,-,
Virginia,-,8,25,10,-,1,-,-,-,5,-,-,
West Virginia,-,1,1,-,-,0,-,-,-,0,-,-,
East South Central,-,4,3,4,-,0,-,-,-,0,-,-,
Alabama,-,2,-,-,-,0,-,-,-,0,-,-,
Kentucky,-,2,2,1,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,1,3,-,0,-,-,-,0,-,-,
West South Central,-,9,14,16,-,0,-,-,-,0,-,-,
Arkansas,-,0,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,-,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,-,9,14,15,-,0,-,-,-,0,-,-,
Mountain,-,4,18,8,-,1,-,-,-,0,-,-,
Arizona,-,3,8,1,-,0,-,-,-,0,-,-,
Colorado,-,2,8,5,-,0,-,-,-,0,-,-,
Idaho,-,1,1,2,-,0,-,-,-,0,-,-,
Montana,-,1,-,-,-,0,-,-,-,0,-,-,
Nevada,-,1,1,-,-,0,-,-,-,0,-,-,
New Mexico,-,1,-,-,-,1,-,-,-,0,-,-,
Utah,-,1,-,-,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,-,7,25,12,-,0,-,-,1,0,1,-,
Alaska,-,1,-,-,-,0,-,-,-,0,-,-,
California,-,5,16,9,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,5,1,-,0,-,-,1,0,1,-,
Washington,-,1,4,2,-,0,-,-,-,0,-,-,
U.S. Territories,-,1,-,-,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,3,-,-,0,-,-,-,0,-,-,
Total,1,56,219,172,-,2,-,1,1,5,1,-,
