Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,3,56,1,084,1,206,-,3,14,19,2,3,16,25,
New England,-,7,65,65,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,3,-,0,-,-,-,0,-,-,
Massachusetts,-,7,52,51,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,7,5,-,0,-,-,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,-,0,-,-,
Middle Atlantic,-,21,257,341,-,0,-,-,-,0,-,1,
New Jersey,-,3,28,63,-,0,-,-,-,0,-,1,
New York (excluding New York City),-,5,36,35,-,0,-,-,-,0,-,-,
New York City,-,13,156,176,-,0,-,-,-,0,-,-,
Pennsylvania,-,3,37,67,-,0,-,-,-,0,-,-,
East North Central,-,11,121,112,-,1,3,6,-,1,1,16,
Illinois,-,4,34,35,-,0,-,-,-,0,-,-,
Indiana,-,3,14,12,-,0,-,-,-,0,-,-,
Michigan,-,2,15,4,-,0,-,-,-,1,1,-,
Ohio,-,7,58,57,-,1,3,-,-,0,-,-,
Wisconsin,-,0,-,4,-,0,-,6,-,0,-,16,
West North Central,-,4,52,118,-,3,9,-,2,3,8,-,
Iowa,-,1,6,17,-,0,-,-,-,0,-,-,
Kansas,-,3,10,2,-,0,-,-,-,0,-,-,
Minnesota,-,1,-,60,-,3,9,-,2,3,8,-,
Missouri,-,2,19,12,-,0,-,-,-,0,-,-,
Nebraska,-,2,7,6,-,0,-,-,-,0,-,-,
North Dakota,-,2,8,13,-,0,-,-,-,0,-,-,
South Dakota,-,1,2,8,-,0,-,-,-,0,-,-,
South Atlantic,2,18,305,324,-,1,2,11,-,3,1,7,
Delaware,-,3,6,6,-,0,-,-,-,0,-,-,
District of Columbia,-,1,4,9,-,0,-,-,-,0,-,-,
Florida,-,4,43,34,-,0,-,-,-,0,-,-,
Georgia,-,5,45,33,-,0,-,-,-,0,-,-,
Maryland,1,13,110,158,-,0,-,-,-,0,-,-,
North Carolina,-,4,19,25,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,1,8,75,59,-,1,2,11,-,3,-,7,
West Virginia,-,1,3,-,-,0,-,-,-,0,-,-,
East South Central,-,4,27,26,-,0,-,-,-,0,-,-,
Alabama,-,2,7,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,1,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,10,12,-,0,-,-,-,0,-,-,
West South Central,1,16,103,82,-,0,-,-,-,0,-,-,
Arkansas,-,1,2,2,-,0,-,-,-,0,-,-,
Louisiana,-,1,4,3,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,1,16,97,76,-,0,-,-,-,0,-,-,
Mountain,-,4,58,52,-,0,-,1,-,3,5,-,
Arizona,-,3,21,22,-,0,-,-,-,3,5,-,
Colorado,-,2,17,14,-,0,-,-,-,0,-,-,
Idaho,-,1,4,3,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,6,3,-,0,-,-,-,0,-,-,
New Mexico,-,2,3,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,11,96,86,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,5,52,68,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,11,9,-,0,-,-,-,0,-,-,
Washington,-,4,29,8,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,6,2,-,0,-,-,-,0,-,-,
Total,3,56,1,090,1,209,-,3,14,19,2,3,16,25,
