Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,3,57,306,301,-,2,-,1,-,6,1,1,
New England,1,5,28,22,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,1,5,23,17,-,0,-,-,-,0,-,-,
New Hampshire,-,1,1,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,-,-,0,-,-,-,0,-,-,
Vermont,-,1,-,1,-,0,-,-,-,0,-,-,
Middle Atlantic,1,20,71,70,-,0,-,-,-,1,-,-,
New Jersey,-,5,9,15,-,0,-,-,-,1,-,-,
New York (excluding New York City),1,4,13,14,-,0,-,-,-,0,-,-,
New York City,-,13,33,30,-,0,-,-,-,0,-,-,
Pennsylvania,-,6,16,11,-,0,-,-,-,0,-,-,
East North Central,-,7,29,34,-,1,-,-,-,1,-,-,
Illinois,-,4,6,8,-,0,-,-,-,0,-,-,
Indiana,-,2,2,4,-,0,-,-,-,0,-,-,
Michigan,-,1,3,1,-,0,-,-,-,0,-,-,
Ohio,-,6,18,19,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,1,-,-,
West North Central,-,4,17,24,-,0,-,-,-,0,-,-,
Iowa,-,2,1,10,-,0,-,-,-,0,-,-,
Kansas,-,3,5,1,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,-,0,-,-,
Missouri,-,2,6,1,-,0,-,-,-,0,-,-,
Nebraska,-,2,2,-,-,0,-,-,-,0,-,-,
North Dakota,-,2,3,7,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,5,-,0,-,-,-,0,-,-,
South Atlantic,-,17,65,78,-,1,-,-,-,5,1,-,
Delaware,-,1,1,2,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,-,4,18,9,-,0,-,-,-,0,-,-,
Georgia,-,4,2,7,-,0,-,-,-,0,-,-,
Maryland,-,11,4,38,-,0,-,-,-,0,-,-,
North Carolina,-,4,7,6,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,30,15,-,1,-,-,-,5,-,-,
West Virginia,-,1,1,-,-,0,-,-,-,0,-,-,
East South Central,-,4,5,9,-,0,-,-,-,0,-,-,
Alabama,-,2,-,-,-,0,-,-,-,0,-,-,
Kentucky,-,2,4,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,1,4,-,0,-,-,-,0,-,-,
West South Central,-,16,28,23,-,0,-,-,-,0,-,-,
Arkansas,-,1,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,1,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,-,16,27,22,-,0,-,-,-,0,-,-,
Mountain,1,4,24,18,-,1,-,-,-,0,-,-,
Arizona,1,3,10,4,-,0,-,-,-,0,-,-,
Colorado,-,2,11,9,-,0,-,-,-,0,-,-,
Idaho,-,1,1,2,-,0,-,-,-,0,-,-,
Montana,-,1,-,1,-,0,-,-,-,0,-,-,
Nevada,-,1,2,-,-,0,-,-,-,0,-,-,
New Mexico,-,0,-,1,-,1,-,-,-,0,-,-,
Utah,-,1,-,1,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,-,7,39,23,-,0,-,-,-,0,-,-,
Alaska,-,0,-,1,-,0,-,-,-,0,-,-,
California,-,5,22,16,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,6,3,-,0,-,-,-,0,-,-,
Washington,-,2,11,3,-,0,-,-,-,0,-,-,
U.S. Territories,-,1,-,-,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,3,1,-,0,-,-,-,0,-,-,
Total,3,57,309,302,-,2,-,1,-,6,1,1,
