Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,14,53,1,041,1,171,-,2,7,14,-,10,7,31,
New England,-,7,63,63,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,3,-,0,-,-,-,0,-,-,
Massachusetts,-,7,52,49,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,5,5,-,0,-,-,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,-,0,-,-,
Middle Atlantic,2,21,240,329,-,0,-,-,-,1,-,1,
New Jersey,-,3,26,63,-,0,-,-,-,1,-,1,
New York (excluding New York City),2,5,36,35,-,0,-,-,-,0,-,-,
New York City,-,13,142,164,-,0,-,-,-,0,-,-,
Pennsylvania,-,3,36,67,-,0,-,-,-,0,-,-,
East North Central,-,11,117,108,-,1,3,1,-,4,-,23,
Illinois,-,4,30,32,-,0,-,-,-,0,-,-,
Indiana,-,3,14,12,-,0,-,-,-,0,-,-,
Michigan,-,2,15,4,-,0,-,-,-,0,-,-,
Ohio,-,7,58,56,-,1,3,-,-,0,-,-,
Wisconsin,-,0,-,4,-,0,-,1,-,4,-,23,
West North Central,-,4,51,117,-,1,2,-,-,0,-,-,
Iowa,-,1,6,17,-,0,-,-,-,0,-,-,
Kansas,-,3,10,2,-,0,-,-,-,0,-,-,
Minnesota,-,1,-,59,-,1,2,-,-,0,-,-,
Missouri,-,2,19,12,-,0,-,-,-,0,-,-,
Nebraska,-,2,7,6,-,0,-,-,-,0,-,-,
North Dakota,-,2,8,13,-,0,-,-,-,0,-,-,
South Dakota,-,1,1,8,-,0,-,-,-,0,-,-,
South Atlantic,12,15,295,314,-,1,2,11,-,5,1,6,
Delaware,-,2,5,5,-,0,-,-,-,0,-,-,
District of Columbia,-,1,4,9,-,0,-,-,-,0,-,-,
Florida,-,4,39,34,-,0,-,-,-,0,-,-,
Georgia,-,6,45,31,-,0,-,-,-,0,-,-,
Maryland,8,11,106,155,-,0,-,-,-,0,-,-,
North Carolina,-,4,19,25,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,4,8,74,55,-,1,2,11,-,5,-,6,
West Virginia,-,1,3,-,-,0,-,-,-,0,-,-,
East South Central,-,4,26,26,-,0,-,-,-,0,-,-,
Alabama,-,2,7,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,1,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,9,12,-,0,-,-,-,0,-,-,
West South Central,-,16,98,80,-,0,-,-,-,0,-,-,
Arkansas,-,1,2,2,-,0,-,-,-,0,-,-,
Louisiana,-,1,3,3,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,-,16,93,74,-,0,-,-,-,0,-,-,
Mountain,-,4,56,50,-,0,-,1,-,3,5,-,
Arizona,-,3,21,22,-,0,-,-,-,3,5,-,
Colorado,-,2,17,13,-,0,-,-,-,0,-,-,
Idaho,-,1,4,2,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,5,3,-,0,-,-,-,0,-,-,
New Mexico,-,1,2,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,11,95,84,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,5,51,66,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,11,9,-,0,-,-,-,0,-,-,
Washington,-,4,29,8,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,6,2,-,0,-,-,-,0,-,-,
Total,14,53,1,047,1,174,-,2,7,14,-,10,7,31,
