Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,2,56,241,207,-,2,-,1,-,5,1,1,
New England,1,5,24,15,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,1,5,20,10,-,0,-,-,-,0,-,-,
New Hampshire,-,0,-,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,-,-,0,-,-,-,0,-,-,
Vermont,-,1,-,1,-,0,-,-,-,0,-,-,
Middle Atlantic,-,20,59,45,-,0,-,-,-,0,-,-,
New Jersey,-,5,9,13,-,0,-,-,-,0,-,-,
New York (excluding New York City),-,4,10,7,-,0,-,-,-,0,-,-,
New York City,-,13,29,19,-,0,-,-,-,0,-,-,
Pennsylvania,-,5,11,6,-,0,-,-,-,0,-,-,
East North Central,-,7,23,26,-,1,-,-,-,1,-,-,
Illinois,-,4,4,4,-,0,-,-,-,0,-,-,
Indiana,-,2,1,2,-,0,-,-,-,0,-,-,
Michigan,-,1,3,1,-,0,-,-,-,0,-,-,
Ohio,-,6,15,17,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,1,-,-,
West North Central,1,4,16,18,-,0,-,-,-,0,-,-,
Iowa,-,3,1,7,-,0,-,-,-,0,-,-,
Kansas,-,3,5,-,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,-,0,-,-,
Missouri,-,2,5,1,-,0,-,-,-,0,-,-,
Nebraska,1,2,2,-,-,0,-,-,-,0,-,-,
North Dakota,-,2,3,5,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,5,-,0,-,-,-,0,-,-,
South Atlantic,-,17,51,53,-,1,-,-,-,5,1,-,
Delaware,-,1,-,2,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,-,4,14,2,-,0,-,-,-,0,-,-,
Georgia,-,4,2,5,-,0,-,-,-,0,-,-,
Maryland,-,11,3,27,-,0,-,-,-,0,-,-,
North Carolina,-,4,4,5,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,25,11,-,1,-,-,-,5,-,-,
West Virginia,-,1,1,-,-,0,-,-,-,0,-,-,
East South Central,-,4,3,6,-,0,-,-,-,0,-,-,
Alabama,-,2,-,-,-,0,-,-,-,0,-,-,
Kentucky,-,2,2,2,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,1,4,-,0,-,-,-,0,-,-,
West South Central,-,12,18,19,-,0,-,-,-,0,-,-,
Arkansas,-,0,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,-,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,-,12,18,18,-,0,-,-,-,0,-,-,
Mountain,-,4,20,10,-,1,-,-,-,0,-,-,
Arizona,-,3,8,3,-,0,-,-,-,0,-,-,
Colorado,-,2,10,5,-,0,-,-,-,0,-,-,
Idaho,-,1,1,2,-,0,-,-,-,0,-,-,
Montana,-,1,-,-,-,0,-,-,-,0,-,-,
Nevada,-,1,1,-,-,0,-,-,-,0,-,-,
New Mexico,-,1,-,-,-,1,-,-,-,0,-,-,
Utah,-,1,-,-,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,-,7,27,15,-,0,-,-,-,0,-,-,
Alaska,-,1,-,-,-,0,-,-,-,0,-,-,
California,-,5,18,10,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,5,3,-,0,-,-,-,0,-,-,
Washington,-,1,4,2,-,0,-,-,-,0,-,-,
U.S. Territories,-,1,-,-,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,3,-,-,0,-,-,-,0,-,-,
Total,2,56,244,207,-,2,-,1,-,5,1,1,
