Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,5,60,1,227,1,333,-,3,15,19,1,3,21,28,
New England,1,7,78,73,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,1,-,0,-,1,-,0,-,1,
Maine,-,1,2,3,-,0,-,-,-,0,-,-,
Massachusetts,1,7,62,59,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,2,-,0,-,-,-,0,-,-,
Rhode Island,-,2,7,5,-,0,-,-,-,0,-,-,
Vermont,-,1,3,3,-,0,-,-,-,0,-,-,
Middle Atlantic,2,22,301,364,-,0,-,-,-,0,-,1,
New Jersey,-,3,31,67,-,0,-,-,-,0,-,1,
New York (excluding New York City),2,5,40,37,-,0,-,-,-,0,-,-,
New York City,-,13,193,192,-,0,-,-,-,0,-,-,
Pennsylvania,-,3,37,68,-,0,-,-,-,0,-,-,
East North Central,-,11,135,137,-,1,4,6,-,1,1,16,
Illinois,-,4,35,40,-,0,-,-,-,0,-,-,
Indiana,-,3,14,13,-,0,-,-,-,0,-,-,
Michigan,-,2,17,5,-,0,-,-,-,1,1,-,
Ohio,-,7,69,63,-,1,4,-,-,0,-,-,
Wisconsin,-,0,-,16,-,0,-,6,-,0,-,16,
West North Central,-,4,54,120,-,3,9,-,-,3,12,-,
Iowa,-,1,6,17,-,0,-,-,-,0,-,-,
Kansas,-,3,11,2,-,0,-,-,-,0,-,-,
Minnesota,-,1,-,61,-,3,9,-,-,3,12,-,
Missouri,-,2,19,13,-,0,-,-,-,0,-,-,
Nebraska,-,2,7,6,-,0,-,-,-,0,-,-,
North Dakota,-,2,9,13,-,0,-,-,-,0,-,-,
South Dakota,-,1,2,8,-,0,-,-,-,0,-,-,
South Atlantic,1,21,336,362,-,1,2,11,-,1,1,10,
Delaware,-,3,7,6,-,0,-,-,-,0,-,-,
District of Columbia,-,1,4,11,-,0,-,-,-,0,-,-,
Florida,1,4,49,38,-,0,-,-,-,0,-,-,
Georgia,-,6,53,38,-,0,-,-,-,0,-,-,
Maryland,-,13,118,173,-,0,-,-,-,0,-,-,
North Carolina,-,4,22,29,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,80,67,-,1,2,11,-,0,-,10,
West Virginia,-,1,3,-,-,0,-,-,-,0,-,-,
East South Central,-,4,28,27,-,0,-,-,-,0,-,-,
Alabama,-,2,7,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,1,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,11,13,-,0,-,-,-,0,-,-,
West South Central,1,16,114,97,-,0,-,-,1,0,1,-,
Arkansas,-,1,2,2,-,0,-,-,-,0,-,-,
Louisiana,-,1,4,5,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,4,-,0,-,-,1,0,1,-,
Texas,1,16,108,86,-,0,-,-,-,0,-,-,
Mountain,-,5,70,58,-,0,-,1,-,3,5,-,
Arizona,-,3,22,25,-,0,-,-,-,3,5,-,
Colorado,-,2,20,17,-,0,-,-,-,0,-,-,
Idaho,-,1,4,3,-,0,-,-,-,0,-,-,
Montana,-,1,2,2,-,0,-,-,-,0,-,-,
Nevada,-,2,13,3,-,0,-,-,-,0,-,-,
New Mexico,-,2,3,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,10,111,95,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,4,61,70,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,13,9,-,0,-,-,-,0,-,-,
Washington,-,4,33,15,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,7,3,-,0,-,-,-,0,-,-,
Total,5,60,1,234,1,337,-,3,15,19,1,3,21,28,
