Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,2,59,524,613,-,4,5,1,-,6,1,1,
New England,-,5,32,30,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,-,5,27,22,-,0,-,-,-,0,-,-,
New Hampshire,-,1,1,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,2,-,0,-,-,-,0,-,-,
Vermont,-,1,-,2,-,0,-,-,-,0,-,-,
Middle Atlantic,-,20,111,145,-,0,-,-,-,1,-,-,
New Jersey,-,5,12,31,-,0,-,-,-,1,-,-,
New York (excluding New York City),-,3,18,27,-,0,-,-,-,0,-,-,
New York City,-,13,56,63,-,0,-,-,-,0,-,-,
Pennsylvania,-,6,25,24,-,0,-,-,-,0,-,-,
East North Central,-,7,54,59,-,1,1,-,-,1,-,-,
Illinois,-,4,14,16,-,0,-,-,-,0,-,-,
Indiana,-,2,4,7,-,0,-,-,-,0,-,-,
Michigan,-,2,9,1,-,0,-,-,-,0,-,-,
Ohio,-,5,27,33,-,1,1,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,1,-,-,
West North Central,-,7,27,74,-,1,2,-,-,0,-,-,
Iowa,-,2,4,13,-,0,-,-,-,0,-,-,
Kansas,-,3,8,2,-,0,-,-,-,0,-,-,
Minnesota,-,5,-,36,-,1,2,-,-,0,-,-,
Missouri,-,2,8,5,-,0,-,-,-,0,-,-,
Nebraska,-,2,2,2,-,0,-,-,-,0,-,-,
North Dakota,-,2,5,10,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,6,-,0,-,-,-,0,-,-,
South Atlantic,1,17,134,165,-,3,2,-,-,5,1,-,
Delaware,-,1,1,5,-,0,-,-,-,0,-,-,
District of Columbia,-,2,3,2,-,0,-,-,-,0,-,-,
Florida,-,4,23,19,-,0,-,-,-,0,-,-,
Georgia,-,3,11,20,-,0,-,-,-,0,-,-,
Maryland,1,12,33,82,-,0,-,-,-,0,-,-,
North Carolina,-,4,14,11,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,47,26,-,3,2,-,-,5,-,-,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,-,4,14,17,-,0,-,-,-,0,-,-,
Alabama,-,2,5,5,-,0,-,-,-,0,-,-,
Kentucky,-,2,7,5,-,0,-,-,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,2,6,-,0,-,-,-,0,-,-,
West South Central,-,16,52,44,-,0,-,-,-,0,-,-,
Arkansas,-,1,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,3,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,-,16,49,42,-,0,-,-,-,0,-,-,
Mountain,-,4,41,36,-,1,-,-,-,0,-,-,
Arizona,-,3,17,14,-,0,-,-,-,0,-,-,
Colorado,-,2,16,12,-,0,-,-,-,0,-,-,
Idaho,-,1,2,2,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,2,1,-,0,-,-,-,0,-,-,
New Mexico,-,1,1,1,-,1,-,-,-,0,-,-,
Utah,-,1,2,4,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,1,7,59,43,-,0,-,-,-,0,-,-,
Alaska,-,1,2,1,-,0,-,-,-,0,-,-,
California,-,5,31,34,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,0,-,-,
Oregon,1,3,8,4,-,0,-,-,-,0,-,-,
Washington,-,2,17,4,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,5,1,-,0,-,-,-,0,-,-,
Total,2,59,529,615,-,4,5,1,-,6,1,1,
