Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,5,61,1,286,1,386,-,3,15,19,-,10,35,29,
New England,1,7,82,81,-,0,-,1,-,0,-,1,
Connecticut,-,1,-,6,-,0,-,1,-,0,-,1,
Maine,1,1,3,3,-,0,-,-,-,0,-,-,
Massachusetts,-,7,65,60,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,3,-,0,-,-,-,0,-,-,
Rhode Island,-,2,7,6,-,0,-,-,-,0,-,-,
Vermont,-,1,3,3,-,0,-,-,-,0,-,-,
Middle Atlantic,2,22,327,377,-,0,-,-,-,0,-,1,
New Jersey,-,3,34,70,-,0,-,-,-,0,-,1,
New York (excluding New York City),2,5,46,37,-,0,-,-,-,0,-,-,
New York City,-,13,205,199,-,0,-,-,-,0,-,-,
Pennsylvania,-,3,42,71,-,0,-,-,-,0,-,-,
East North Central,-,11,141,144,-,1,4,6,-,10,20,17,
Illinois,-,4,35,40,-,0,-,-,-,0,-,-,
Indiana,-,3,17,14,-,0,-,-,-,0,-,-,
Michigan,-,2,17,8,-,0,-,-,-,1,1,1,
Ohio,-,7,72,66,-,1,4,-,-,10,19,-,
Wisconsin,-,0,-,16,-,0,-,6,-,0,-,16,
West North Central,-,4,55,122,-,3,9,-,-,3,12,-,
Iowa,-,1,6,17,-,0,-,-,-,0,-,-,
Kansas,-,3,11,2,-,0,-,-,-,0,-,-,
Minnesota,-,1,-,63,-,3,9,-,-,3,12,-,
Missouri,-,2,19,13,-,0,-,-,-,0,-,-,
Nebraska,-,2,8,6,-,0,-,-,-,0,-,-,
North Dakota,-,2,9,13,-,0,-,-,-,0,-,-,
South Dakota,-,1,2,8,-,0,-,-,-,0,-,-,
South Atlantic,2,21,351,372,-,1,2,11,-,1,1,10,
Delaware,-,3,7,7,-,0,-,-,-,0,-,-,
District of Columbia,-,1,4,11,-,0,-,-,-,0,-,-,
Florida,-,4,54,38,-,0,-,-,-,0,-,-,
Georgia,-,6,54,39,-,0,-,-,-,0,-,-,
Maryland,2,13,125,179,-,0,-,-,-,0,-,-,
North Carolina,-,4,22,30,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,82,68,-,1,2,11,-,0,-,10,
West Virginia,-,1,3,-,-,0,-,-,-,0,-,-,
East South Central,-,4,28,27,-,0,-,-,-,0,-,-,
Alabama,-,2,7,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,1,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,11,13,-,0,-,-,-,0,-,-,
West South Central,-,18,121,103,-,0,-,-,-,1,1,-,
Arkansas,-,1,2,2,-,0,-,-,-,0,-,-,
Louisiana,-,1,5,6,-,0,-,-,-,0,-,-,
Oklahoma,-,2,-,4,-,0,-,-,-,1,1,-,
Texas,-,16,114,91,-,0,-,-,-,0,-,-,
Mountain,-,5,70,60,-,0,-,1,-,0,-,-,
Arizona,-,3,22,26,-,0,-,-,-,0,-,-,
Colorado,-,2,20,17,-,0,-,-,-,0,-,-,
Idaho,-,1,4,3,-,0,-,-,-,0,-,-,
Montana,-,1,2,2,-,0,-,-,-,0,-,-,
Nevada,-,2,13,4,-,0,-,-,-,0,-,-,
New Mexico,-,2,3,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,10,111,100,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,4,61,72,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,13,10,-,0,-,-,-,0,-,-,
Washington,-,4,33,17,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,8,4,-,0,-,-,-,0,-,-,
Total,5,61,1,294,1,391,-,3,15,19,-,10,35,29,
