Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,18,52,861,1,023,-,4,6,9,-,14,7,7,
New England,5,5,54,53,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,4,4,43,42,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,1,-,0,-,-,-,0,-,-,
Rhode Island,1,2,5,4,-,0,-,-,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,-,0,-,-,
Middle Atlantic,3,20,197,275,-,0,-,-,-,1,-,-,
New Jersey,-,5,25,55,-,0,-,-,-,1,-,-,
New York (excluding New York City),1,4,27,34,-,0,-,-,-,0,-,-,
New York City,1,13,113,130,-,0,-,-,-,0,-,-,
Pennsylvania,1,4,32,56,-,0,-,-,-,0,-,-,
East North Central,1,7,88,95,-,1,2,1,-,13,-,6,
Illinois,-,3,16,29,-,0,-,-,-,0,-,-,
Indiana,-,2,9,9,-,0,-,-,-,0,-,-,
Michigan,1,2,13,2,-,0,-,-,-,0,-,-,
Ohio,-,7,50,51,-,1,2,-,-,0,-,-,
Wisconsin,-,0,-,4,-,0,-,1,-,13,-,6,
West North Central,-,7,46,110,-,1,2,-,-,0,-,-,
Iowa,-,1,6,16,-,0,-,-,-,0,-,-,
Kansas,-,3,9,2,-,0,-,-,-,0,-,-,
Minnesota,-,4,-,57,-,1,2,-,-,0,-,-,
Missouri,-,2,19,11,-,0,-,-,-,0,-,-,
Nebraska,-,1,3,5,-,0,-,-,-,0,-,-,
North Dakota,-,2,8,12,-,0,-,-,-,0,-,-,
South Dakota,-,1,1,7,-,0,-,-,-,0,-,-,
South Atlantic,7,16,231,270,-,3,2,6,-,5,1,-,
Delaware,-,1,3,5,-,0,-,-,-,0,-,-,
District of Columbia,-,2,4,6,-,0,-,-,-,0,-,-,
Florida,-,4,38,29,-,0,-,-,-,0,-,-,
Georgia,-,6,33,31,-,0,-,-,-,0,-,-,
Maryland,6,12,73,132,-,0,-,-,-,0,-,-,
North Carolina,-,4,18,22,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,1,8,60,45,-,3,2,6,-,5,-,-,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,-,4,22,25,-,0,-,-,-,0,-,-,
Alabama,-,2,6,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,7,11,-,0,-,-,-,0,-,-,
West South Central,1,16,84,75,-,0,-,-,-,0,-,-,
Arkansas,-,1,2,1,-,0,-,-,-,0,-,-,
Louisiana,-,1,3,2,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,1,16,79,71,-,0,-,-,-,0,-,-,
Mountain,1,4,52,48,-,1,-,1,-,3,5,-,
Arizona,1,3,20,21,-,0,-,-,-,3,5,-,
Colorado,-,2,17,13,-,0,-,-,-,0,-,-,
Idaho,-,1,4,2,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,2,2,-,0,-,-,-,0,-,-,
New Mexico,-,1,2,1,-,1,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,10,87,72,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,5,46,56,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,1,1,-,
Oregon,-,3,11,8,-,0,-,-,-,0,-,-,
Washington,-,3,26,7,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,6,2,-,0,-,-,-,0,-,-,
Total,18,52,867,1,026,-,4,6,9,-,14,7,7,
