Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,4,62,1,435,1,461,-,3,16,19,-,23,104,30,
New England,-,7,84,86,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,7,-,0,-,1,-,0,-,1,
Maine,-,2,5,3,-,0,-,-,-,0,-,-,
Massachusetts,-,7,65,63,-,0,-,-,-,0,-,-,
New Hampshire,-,1,4,4,-,0,-,-,-,0,-,-,
Rhode Island,-,2,7,6,-,0,-,-,-,0,-,-,
Vermont,-,1,3,3,-,0,-,-,-,0,-,-,
Middle Atlantic,3,22,358,400,-,0,-,-,-,0,-,1,
New Jersey,-,4,41,71,-,0,-,-,-,0,-,1,
New York (excluding New York City),3,5,53,45,-,0,-,-,-,0,-,-,
New York City,-,13,220,210,-,0,-,-,-,0,-,-,
Pennsylvania,-,3,44,74,-,0,-,-,-,0,-,-,
East North Central,-,11,156,155,-,1,5,6,-,23,82,17,
Illinois,-,4,45,42,-,0,-,-,-,0,-,-,
Indiana,-,3,18,16,-,0,-,-,-,0,-,-,
Michigan,-,2,18,12,-,0,-,-,-,2,2,1,
Ohio,-,7,75,68,-,1,5,-,-,23,80,-,
Wisconsin,-,0,-,17,-,0,-,6,-,0,-,16,
West North Central,-,4,64,125,-,3,9,-,-,3,13,-,
Iowa,-,1,7,17,-,0,-,-,-,0,-,-,
Kansas,-,3,11,3,-,0,-,-,-,0,-,-,
Minnesota,-,1,5,64,-,3,9,-,-,3,13,-,
Missouri,-,2,20,13,-,0,-,-,-,0,-,-,
Nebraska,-,2,10,7,-,0,-,-,-,0,-,-,
North Dakota,-,2,9,13,-,0,-,-,-,0,-,-,
South Dakota,-,1,2,8,-,0,-,-,-,0,-,-,
South Atlantic,1,21,398,387,-,1,2,11,-,1,1,11,
Delaware,-,3,7,7,-,0,-,-,-,0,-,-,
District of Columbia,-,1,6,12,-,0,-,-,-,0,-,-,
Florida,-,4,58,40,-,0,-,-,-,0,-,-,
Georgia,-,6,61,40,-,0,-,-,-,0,-,-,
Maryland,1,13,140,186,-,0,-,-,-,0,-,-,
North Carolina,-,4,36,30,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,1,
Virginia,-,8,87,72,-,1,2,11,-,0,-,10,
West Virginia,-,1,3,-,-,0,-,-,-,0,-,-,
East South Central,-,4,30,27,-,0,-,-,-,0,-,-,
Alabama,-,2,7,8,-,0,-,-,-,0,-,-,
Kentucky,-,2,9,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,3,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,11,13,-,0,-,-,-,0,-,-,
West South Central,-,18,146,109,-,0,-,-,-,0,-,-,
Arkansas,-,1,2,2,-,0,-,-,-,0,-,-,
Louisiana,-,1,8,6,-,0,-,-,-,0,-,-,
Oklahoma,-,2,-,5,-,0,-,-,-,0,-,-,
Texas,-,16,136,96,-,0,-,-,-,0,-,-,
Mountain,-,5,78,61,-,0,-,1,-,3,7,-,
Arizona,-,3,26,26,-,0,-,-,-,3,5,-,
Colorado,-,2,21,18,-,0,-,-,-,0,-,-,
Idaho,-,1,6,3,-,0,-,-,-,0,-,-,
Montana,-,1,2,2,-,0,-,-,-,0,-,-,
Nevada,-,2,14,4,-,0,-,-,-,1,2,-,
New Mexico,-,2,3,1,-,0,-,1,-,0,-,-,
Utah,-,1,5,7,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,-,11,121,111,-,0,-,-,-,1,1,-,
Alaska,-,1,3,1,-,0,-,-,-,0,-,-,
California,-,4,67,80,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,1,-,0,-,-,-,1,1,-,
Oregon,-,3,16,10,-,0,-,-,-,0,-,-,
Washington,-,5,34,19,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,10,5,-,0,-,-,-,0,-,-,
Total,4,62,1,445,1,467,-,3,16,19,-,23,104,30,
