Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,5,58,363,415,-,4,1,1,-,6,1,1,
New England,1,5,29,25,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,1,5,24,19,-,0,-,-,-,0,-,-,
New Hampshire,-,1,1,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,1,-,0,-,-,-,0,-,-,
Vermont,-,1,-,1,-,0,-,-,-,0,-,-,
Middle Atlantic,1,20,82,93,-,0,-,-,-,1,-,-,
New Jersey,-,5,9,18,-,0,-,-,-,1,-,-,
New York (excluding New York City),1,3,15,20,-,0,-,-,-,0,-,-,
New York City,-,13,40,40,-,0,-,-,-,0,-,-,
Pennsylvania,-,6,18,15,-,0,-,-,-,0,-,-,
East North Central,1,7,43,45,-,1,-,-,-,1,-,-,
Illinois,-,4,11,10,-,0,-,-,-,0,-,-,
Indiana,1,2,3,5,-,0,-,-,-,0,-,-,
Michigan,-,2,7,1,-,0,-,-,-,0,-,-,
Ohio,-,5,22,27,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,1,-,-,
West North Central,-,7,21,56,-,0,-,-,-,0,-,-,
Iowa,-,2,2,11,-,0,-,-,-,0,-,-,
Kansas,-,3,6,1,-,0,-,-,-,0,-,-,
Minnesota,-,5,-,28,-,0,-,-,-,0,-,-,
Missouri,-,2,7,1,-,0,-,-,-,0,-,-,
Nebraska,-,2,2,1,-,0,-,-,-,0,-,-,
North Dakota,-,2,4,9,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,5,-,0,-,-,-,0,-,-,
South Atlantic,1,17,76,104,-,3,1,-,-,5,1,-,
Delaware,-,1,1,4,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,-,4,21,12,-,0,-,-,-,0,-,-,
Georgia,-,3,2,15,-,0,-,-,-,0,-,-,
Maryland,1,12,10,49,-,0,-,-,-,0,-,-,
North Carolina,-,4,9,6,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,29,17,-,3,1,-,-,5,-,-,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,-,4,6,9,-,0,-,-,-,0,-,-,
Alabama,-,2,-,-,-,0,-,-,-,0,-,-,
Kentucky,-,2,4,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,2,4,-,0,-,-,-,0,-,-,
West South Central,-,16,39,28,-,0,-,-,-,0,-,-,
Arkansas,-,1,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,2,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,-,16,37,27,-,0,-,-,-,0,-,-,
Mountain,1,4,25,21,-,1,-,-,-,0,-,-,
Arizona,-,3,10,5,-,0,-,-,-,0,-,-,
Colorado,-,2,11,10,-,0,-,-,-,0,-,-,
Idaho,1,1,2,2,-,0,-,-,-,0,-,-,
Montana,-,1,-,1,-,0,-,-,-,0,-,-,
Nevada,-,1,2,-,-,0,-,-,-,0,-,-,
New Mexico,-,0,-,1,-,1,-,-,-,0,-,-,
Utah,-,1,-,2,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,-,7,42,34,-,0,-,-,-,0,-,-,
Alaska,-,0,-,1,-,0,-,-,-,0,-,-,
California,-,5,23,26,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,7,3,-,0,-,-,-,0,-,-,
Washington,-,2,12,4,-,0,-,-,-,0,-,-,
U.S. Territories,-,1,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,1,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,3,1,-,0,-,-,-,0,-,-,
Total,5,58,366,417,-,4,1,1,-,6,1,1,
