Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,3,50,22,35,-,2,-,-,-,5,-,-,
New England,-,4,3,3,-,1,-,-,-,1,-,-,
Connecticut,-,2,-,-,-,1,-,-,-,1,-,-,
Maine,-,1,1,-,-,0,-,-,-,0,-,-,
Massachusetts,-,4,2,3,-,0,-,-,-,0,-,-,
New Hampshire,-,1,-,-,-,0,-,-,-,0,-,-,
Rhode Island,-,1,-,-,-,0,-,-,-,0,-,-,
Vermont,-,1,-,-,-,0,-,-,-,0,-,-,
Middle Atlantic,-,19,1,9,-,0,-,-,-,1,-,-,
New Jersey,-,4,-,4,-,0,-,-,-,0,-,-,
New York (excluding New York City),-,4,1,1,-,0,-,-,-,0,-,-,
New York City,-,13,-,4,-,0,-,-,-,0,-,-,
Pennsylvania,-,4,-,-,-,0,-,-,-,1,-,-,
East North Central,2,7,3,3,-,1,-,-,-,1,-,-,
Illinois,-,4,-,1,-,0,-,-,-,0,-,-,
Indiana,-,2,-,-,-,0,-,-,-,0,-,-,
Michigan,-,1,-,-,-,0,-,-,-,0,-,-,
Ohio,2,6,3,2,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,-,-,1,-,-,-,1,-,-,
West North Central,1,4,2,3,-,0,-,-,-,0,-,-,
Iowa,-,3,-,1,-,0,-,-,-,0,-,-,
Kansas,-,1,-,-,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,-,0,-,-,
Missouri,1,2,1,1,-,0,-,-,-,0,-,-,
Nebraska,-,2,-,-,-,0,-,-,-,0,-,-,
North Dakota,-,2,1,-,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,1,-,0,-,-,-,0,-,-,
South Atlantic,-,14,6,7,-,1,-,-,-,5,-,-,
Delaware,-,1,-,1,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,-,4,1,-,-,0,-,-,-,0,-,-,
Georgia,-,4,-,-,-,0,-,-,-,0,-,-,
Maryland,-,11,-,3,-,0,-,-,-,0,-,-,
North Carolina,-,2,-,1,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,0,-,-,
Virginia,-,6,3,1,-,1,-,-,-,5,-,-,
West Virginia,-,0,-,-,-,0,-,-,-,0,-,-,
East South Central,-,4,-,2,-,0,-,-,-,0,-,-,
Alabama,-,2,-,-,-,0,-,-,-,0,-,-,
Kentucky,-,2,-,-,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,-,2,-,0,-,-,-,0,-,-,
West South Central,-,5,-,2,-,0,-,-,-,0,-,-,
Arkansas,-,0,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,-,-,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,-,5,-,2,-,0,-,-,-,0,-,-,
Mountain,-,4,1,1,-,1,-,-,-,0,-,-,
Arizona,-,3,1,-,-,0,-,-,-,0,-,-,
Colorado,-,2,-,-,-,0,-,-,-,0,-,-,
Idaho,-,1,-,1,-,0,-,-,-,0,-,-,
Montana,-,1,-,-,-,0,-,-,-,0,-,-,
Nevada,-,1,-,-,-,0,-,-,-,0,-,-,
New Mexico,-,1,-,-,-,1,-,-,-,0,-,-,
Utah,-,1,-,-,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,-,7,6,5,-,0,-,-,-,0,-,-,
Alaska,-,1,-,-,-,0,-,-,-,0,-,-,
California,-,5,-,3,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,4,-,-,0,-,-,-,0,-,-,
Washington,-,1,2,2,-,0,-,-,-,0,-,-,
U.S. Territories,-,1,-,-,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,1,-,-,-,0,-,-,-,0,-,-,
Total,3,50,22,35,-,2,-,-,-,5,-,-,
