Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,11,58,391,445,1,4,3,1,-,6,2,1,
New England,-,5,29,26,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,-,5,24,19,-,0,-,-,-,0,-,-,
New Hampshire,-,1,1,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,2,-,0,-,-,-,0,-,-,
Vermont,-,1,-,1,-,0,-,-,-,0,-,-,
Middle Atlantic,-,20,84,100,-,0,-,-,-,1,1,-,
New Jersey,-,5,9,19,-,0,-,-,-,1,-,-,
New York (excluding New York City),-,3,15,21,-,0,-,-,-,0,-,-,
New York City,-,13,41,42,-,0,-,-,-,0,-,-,
Pennsylvania,-,6,19,18,-,0,-,-,-,1,1,-,
East North Central,-,7,44,45,-,1,-,-,-,1,-,-,
Illinois,-,4,11,10,-,0,-,-,-,0,-,-,
Indiana,-,2,3,5,-,0,-,-,-,0,-,-,
Michigan,-,2,7,1,-,0,-,-,-,0,-,-,
Ohio,-,5,23,27,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,1,-,-,
West North Central,-,7,22,58,1,1,2,-,-,0,-,-,
Iowa,-,2,2,11,-,0,-,-,-,0,-,-,
Kansas,-,3,6,1,-,0,-,-,-,0,-,-,
Minnesota,-,5,-,29,1,1,2,-,-,0,-,-,
Missouri,-,2,8,1,-,0,-,-,-,0,-,-,
Nebraska,-,2,2,1,-,0,-,-,-,0,-,-,
North Dakota,-,2,4,10,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,5,-,0,-,-,-,0,-,-,
South Atlantic,7,17,88,114,-,3,1,-,-,5,1,-,
Delaware,-,1,1,4,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,-,4,22,12,-,0,-,-,-,0,-,-,
Georgia,-,3,2,16,-,0,-,-,-,0,-,-,
Maryland,6,12,20,57,-,0,-,-,-,0,-,-,
North Carolina,-,4,9,7,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,1,8,30,17,-,3,1,-,-,5,-,-,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,1,4,7,11,-,0,-,-,-,0,-,-,
Alabama,1,2,1,1,-,0,-,-,-,0,-,-,
Kentucky,-,2,4,5,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,2,5,-,0,-,-,-,0,-,-,
West South Central,1,16,41,31,-,0,-,-,-,0,-,-,
Arkansas,-,1,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,2,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,1,16,39,30,-,0,-,-,-,0,-,-,
Mountain,1,4,30,24,-,1,-,-,-,0,-,-,
Arizona,1,3,11,7,-,0,-,-,-,0,-,-,
Colorado,-,2,14,10,-,0,-,-,-,0,-,-,
Idaho,-,1,2,2,-,0,-,-,-,0,-,-,
Montana,-,1,-,1,-,0,-,-,-,0,-,-,
Nevada,-,1,2,-,-,0,-,-,-,0,-,-,
New Mexico,-,1,1,1,-,1,-,-,-,0,-,-,
Utah,-,1,-,3,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,1,7,46,36,-,0,-,-,-,0,-,-,
Alaska,-,0,-,1,-,0,-,-,-,0,-,-,
California,1,5,27,28,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,7,3,-,0,-,-,-,0,-,-,
Washington,-,2,12,4,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,3,1,-,0,-,-,-,0,-,-,
Total,11,58,394,447,1,4,3,1,-,6,2,1,
