Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,2,51,150,127,-,2,-,-,-,5,-,-,
New England,-,5,15,7,-,1,-,-,-,1,-,-,
Connecticut,-,2,-,-,-,1,-,-,-,1,-,-,
Maine,-,1,1,-,-,0,-,-,-,0,-,-,
Massachusetts,-,5,11,6,-,0,-,-,-,0,-,-,
New Hampshire,-,1,-,-,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,-,-,0,-,-,-,0,-,-,
Vermont,-,1,-,1,-,0,-,-,-,0,-,-,
Middle Atlantic,1,19,35,28,-,0,-,-,-,1,-,-,
New Jersey,-,4,5,6,-,0,-,-,-,0,-,-,
New York (excluding New York City),1,4,5,5,-,0,-,-,-,0,-,-,
New York City,-,13,19,12,-,0,-,-,-,0,-,-,
Pennsylvania,-,5,6,5,-,0,-,-,-,1,-,-,
East North Central,-,7,18,16,-,1,-,-,-,1,-,-,
Illinois,-,4,3,2,-,0,-,-,-,0,-,-,
Indiana,-,2,1,-,-,0,-,-,-,0,-,-,
Michigan,-,1,2,1,-,0,-,-,-,0,-,-,
Ohio,-,6,12,12,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,1,-,1,-,-,-,1,-,-,
West North Central,-,4,9,12,-,0,-,-,-,0,-,-,
Iowa,-,3,1,4,-,0,-,-,-,0,-,-,
Kansas,-,1,3,-,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,-,0,-,-,
Missouri,-,2,2,1,-,0,-,-,-,0,-,-,
Nebraska,-,2,1,-,-,0,-,-,-,0,-,-,
North Dakota,-,2,2,4,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,3,-,0,-,-,-,0,-,-,
South Atlantic,1,14,36,33,-,1,-,-,-,5,-,-,
Delaware,-,1,-,2,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,1,4,10,2,-,0,-,-,-,0,-,-,
Georgia,-,4,2,3,-,0,-,-,-,0,-,-,
Maryland,-,11,-,13,-,0,-,-,-,0,-,-,
North Carolina,-,2,-,4,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,0,-,-,
Virginia,-,8,22,8,-,1,-,-,-,5,-,-,
West Virginia,-,0,-,-,-,0,-,-,-,0,-,-,
East South Central,-,4,2,3,-,0,-,-,-,0,-,-,
Alabama,-,2,-,-,-,0,-,-,-,0,-,-,
Kentucky,-,2,2,-,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,-,3,-,0,-,-,-,0,-,-,
West South Central,-,5,-,14,-,0,-,-,-,0,-,-,
Arkansas,-,0,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,-,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,-,5,-,13,-,0,-,-,-,0,-,-,
Mountain,-,4,14,4,-,1,-,-,-,0,-,-,
Arizona,-,3,7,-,-,0,-,-,-,0,-,-,
Colorado,-,2,5,3,-,0,-,-,-,0,-,-,
Idaho,-,1,1,1,-,0,-,-,-,0,-,-,
Montana,-,1,-,-,-,0,-,-,-,0,-,-,
Nevada,-,1,1,-,-,0,-,-,-,0,-,-,
New Mexico,-,1,-,-,-,1,-,-,-,0,-,-,
Utah,-,1,-,-,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,-,7,21,10,-,0,-,-,-,0,-,-,
Alaska,-,1,-,-,-,0,-,-,-,0,-,-,
California,-,5,13,8,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,5,-,-,0,-,-,-,0,-,-,
Washington,-,1,3,2,-,0,-,-,-,0,-,-,
U.S. Territories,-,1,-,-,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,1,-,-,-,0,-,-,-,0,-,-,
Total,2,51,150,127,-,2,-,-,-,5,-,-,
