Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,4,55,270,242,-,2,-,1,-,6,1,1,
New England,-,5,26,19,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,-,5,21,14,-,0,-,-,-,0,-,-,
New Hampshire,-,1,1,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,-,-,0,-,-,-,0,-,-,
Vermont,-,1,-,1,-,0,-,-,-,0,-,-,
Middle Atlantic,2,19,64,48,-,0,-,-,-,1,-,-,
New Jersey,-,5,9,14,-,0,-,-,-,1,-,-,
New York (excluding New York City),-,4,11,9,-,0,-,-,-,0,-,-,
New York City,2,13,32,20,-,0,-,-,-,0,-,-,
Pennsylvania,-,4,12,5,-,0,-,-,-,0,-,-,
East North Central,-,7,25,29,-,1,-,-,-,1,-,-,
Illinois,-,4,6,6,-,0,-,-,-,0,-,-,
Indiana,-,2,1,2,-,0,-,-,-,0,-,-,
Michigan,-,1,3,1,-,0,-,-,-,0,-,-,
Ohio,-,6,15,18,-,0,-,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,1,-,-,
West North Central,-,4,17,19,-,0,-,-,-,0,-,-,
Iowa,-,3,1,7,-,0,-,-,-,0,-,-,
Kansas,-,3,5,-,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,-,0,-,-,
Missouri,-,2,6,1,-,0,-,-,-,0,-,-,
Nebraska,-,2,2,-,-,0,-,-,-,0,-,-,
North Dakota,-,2,3,6,-,0,-,-,-,0,-,-,
South Dakota,-,1,-,5,-,0,-,-,-,0,-,-,
South Atlantic,1,17,58,66,-,1,-,-,-,5,1,-,
Delaware,-,1,-,2,-,0,-,-,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,-,0,-,-,
Florida,1,4,18,7,-,0,-,-,-,0,-,-,
Georgia,-,4,2,7,-,0,-,-,-,0,-,-,
Maryland,-,11,3,29,-,0,-,-,-,0,-,-,
North Carolina,-,4,5,6,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,27,14,-,1,-,-,-,5,-,-,
West Virginia,-,1,1,-,-,0,-,-,-,0,-,-,
East South Central,-,4,5,8,-,0,-,-,-,0,-,-,
Alabama,-,2,-,-,-,0,-,-,-,0,-,-,
Kentucky,-,2,4,4,-,0,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,-,0,-,-,
Tennessee,-,2,1,4,-,0,-,-,-,0,-,-,
West South Central,-,14,23,19,-,0,-,-,-,0,-,-,
Arkansas,-,0,-,-,-,0,-,-,-,0,-,-,
Louisiana,-,1,1,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,-,-,0,-,-,-,0,-,-,
Texas,-,14,22,18,-,0,-,-,-,0,-,-,
Mountain,-,4,21,17,-,1,-,-,-,0,-,-,
Arizona,-,3,9,4,-,0,-,-,-,0,-,-,
Colorado,-,2,10,9,-,0,-,-,-,0,-,-,
Idaho,-,1,1,2,-,0,-,-,-,0,-,-,
Montana,-,1,-,-,-,0,-,-,-,0,-,-,
Nevada,-,1,1,-,-,0,-,-,-,0,-,-,
New Mexico,-,0,-,1,-,1,-,-,-,0,-,-,
Utah,-,1,-,1,-,0,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,-,0,-,-,
Pacific,1,7,31,17,-,0,-,-,-,0,-,-,
Alaska,-,1,-,1,-,0,-,-,-,0,-,-,
California,1,5,20,11,-,0,-,-,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,-,0,-,-,
Oregon,-,3,5,3,-,0,-,-,-,0,-,-,
Washington,-,1,6,2,-,0,-,-,-,0,-,-,
U.S. Territories,-,1,-,-,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,3,1,-,0,-,-,-,0,-,-,
Total,4,55,273,243,-,2,-,1,-,6,1,1,
